sample_name	biosample	amikacin_call
ERR373998	SAMEA2158960	S
ERR374003	SAMEA2159217	S
ERR374024	SAMEA2159391	S
ERR374007	SAMEA2159498	S
ERR363488	SAMEA2159516	S
ERR363487	SAMEA2159674	S
ERR373953	SAMEA2159726	S
ERR374035	SAMEA2159848	S
ERR374028	SAMEA2159875	S
ERR369138	SAMEA2159986	S
ERR373965	SAMEA2160050	S
ERR363508	SAMEA2160080	S
ERR373962	SAMEA2160300	S
ERR373995	SAMEA2160370	S
ERR363481	SAMEA2160528	S
ERR363505	SAMEA2160639	S
ERR374031	SAMEA2160651	S
ERR363463	SAMEA2160658	S
ERR349288	SAMEA2160938	S
ERR363473	SAMEA2160941	S
ERR369154	SAMEA2160962	S
ERR349319	SAMEA2160979	R
ERR363501	SAMEA2161018	S
ERR369135	SAMEA2161322	S
ERR373960	SAMEA2161456	S
ERR363466	SAMEA2161499	S
ERR363489	SAMEA2161603	S
ERR349268	SAMEA2162277	S
ERR373968	SAMEA2162740	S
ERR369148	SAMEA2162857	S
ERR349281	SAMEA2162897	S
ERR363483	SAMEA2162933	S
ERR363503	SAMEA2163108	S
ERR373978	SAMEA2163129	S
ERR369142	SAMEA2163337	S
ERR373996	SAMEA2163350	S
ERR369166	SAMEA2163394	S
ERR369144	SAMEA2163411	S
ERR373966	SAMEA2163444	S
ERR373958	SAMEA2163498	S
ERR374006	SAMEA2163598	S
ERR459758	SAMEA2259546	S
ERR459759	SAMEA2259547	S
ERR459760	SAMEA2259548	S
ERR459761	SAMEA2259549	S
ERR459842	SAMEA2259550	R
ERR459762	SAMEA2259551	R
ERR459763	SAMEA2259552	R
ERR459764	SAMEA2259553	S
ERR459766	SAMEA2259555	S
ERR459767	SAMEA2259556	S
ERR459768	SAMEA2259557	S
ERR459769	SAMEA2259558	S
ERR459770	SAMEA2259559	S
ERR459771	SAMEA2259560	S
ERR459772	SAMEA2259561	S
ERR459773	SAMEA2259562	S
ERR459774	SAMEA2259563	S
ERR459775	SAMEA2259564	S
ERR459776	SAMEA2259565	S
ERR459777	SAMEA2259566	S
ERR459778	SAMEA2259567	S
ERR459779	SAMEA2259568	S
ERR459780	SAMEA2259569	S
ERR459843	SAMEA2259570	S
ERR459781	SAMEA2259571	R
ERR459782	SAMEA2259572	R
ERR459783	SAMEA2259573	R
ERR459784	SAMEA2259574	S
ERR459785	SAMEA2259575	S
ERR459786	SAMEA2259576	S
ERR459787	SAMEA2259577	R
ERR459788	SAMEA2259578	S
ERR459789	SAMEA2259579	S
ERR459790	SAMEA2259580	S
ERR459791	SAMEA2259581	S
ERR459792	SAMEA2259582	S
ERR459793	SAMEA2259583	S
ERR459794	SAMEA2259584	S
ERR459795	SAMEA2259585	S
ERR459796	SAMEA2259586	S
ERR459844	SAMEA2259587	S
ERR459845	SAMEA2259588	S
ERR459846	SAMEA2259589	S
ERR459797	SAMEA2259590	S
ERR459847	SAMEA2259591	S
ERR459798	SAMEA2259592	S
ERR459799	SAMEA2259593	S
ERR459800	SAMEA2259594	S
ERR459801	SAMEA2259595	S
ERR459802	SAMEA2259596	S
ERR459803	SAMEA2259597	S
ERR459804	SAMEA2259598	S
ERR459805	SAMEA2259599	S
ERR459806	SAMEA2259600	S
ERR459807	SAMEA2259601	S
ERR459808	SAMEA2259602	S
ERR459809	SAMEA2259603	S
ERR459810	SAMEA2259604	S
ERR459811	SAMEA2259605	S
ERR459812	SAMEA2259606	S
ERR459813	SAMEA2259607	S
ERR459814	SAMEA2259608	S
ERR459815	SAMEA2259609	S
ERR459816	SAMEA2259610	S
ERR459817	SAMEA2259611	S
ERR459818	SAMEA2259612	S
ERR459819	SAMEA2259613	S
ERR459820	SAMEA2259614	S
ERR459821	SAMEA2259615	S
ERR459822	SAMEA2259616	S
ERR459823	SAMEA2259617	S
ERR459824	SAMEA2259618	S
ERR459825	SAMEA2259619	S
ERR459826	SAMEA2259620	S
ERR459827	SAMEA2259621	S
ERR459828	SAMEA2259622	S
ERR459848	SAMEA2259623	S
ERR459849	SAMEA2259624	S
ERR459850	SAMEA2259625	S
ERR459851	SAMEA2259626	S
ERR459852	SAMEA2259627	S
ERR459829	SAMEA2259628	S
ERR459830	SAMEA2259629	S
ERR459831	SAMEA2259630	S
ERR459832	SAMEA2259631	S
ERR459833	SAMEA2259632	S
ERR459834	SAMEA2259633	S
ERR459835	SAMEA2259634	S
ERR459836	SAMEA2259635	S
ERR459837	SAMEA2259636	S
ERR459838	SAMEA2259637	S
ERR459839	SAMEA2259638	S
ERR459920	SAMEA2259639	S
ERR459921	SAMEA2259640	S
ERR459922	SAMEA2259641	S
ERR459923	SAMEA2259642	S
ERR459924	SAMEA2259643	S
ERR459925	SAMEA2259644	S
ERR459926	SAMEA2259645	S
ERR459853	SAMEA2259646	S
ERR459927	SAMEA2259647	S
ERR459928	SAMEA2259648	S
ERR459929	SAMEA2259649	S
ERR459930	SAMEA2259650	S
ERR459931	SAMEA2259651	S
ERR459932	SAMEA2259652	S
ERR459933	SAMEA2259653	S
ERR459935	SAMEA2259655	S
ERR459936	SAMEA2259656	S
ERR459854	SAMEA2259657	S
ERR459937	SAMEA2259658	S
ERR459938	SAMEA2259659	S
ERR459939	SAMEA2259660	S
ERR459940	SAMEA2259661	S
ERR459941	SAMEA2259662	S
ERR459855	SAMEA2259663	S
ERR459856	SAMEA2259664	S
ERR459942	SAMEA2259665	S
ERR459943	SAMEA2259666	S
ERR459944	SAMEA2259667	S
ERR459945	SAMEA2259668	S
ERR459946	SAMEA2259669	S
ERR459947	SAMEA2259670	S
ERR459948	SAMEA2259671	S
ERR459857	SAMEA2259672	S
ERR459949	SAMEA2259673	S
ERR459950	SAMEA2259674	S
ERR459951	SAMEA2259675	S
ERR459952	SAMEA2259676	S
ERR459953	SAMEA2259677	S
ERR459858	SAMEA2259678	S
ERR459954	SAMEA2259679	S
ERR459955	SAMEA2259680	S
ERR459859	SAMEA2259681	S
ERR459860	SAMEA2259682	S
ERR459956	SAMEA2259683	S
ERR459957	SAMEA2259684	S
ERR459958	SAMEA2259685	S
ERR459959	SAMEA2259686	S
ERR459960	SAMEA2259687	S
ERR459961	SAMEA2259688	S
ERR459962	SAMEA2259689	S
ERR459963	SAMEA2259690	S
ERR459964	SAMEA2259691	S
ERR459965	SAMEA2259692	S
ERR459966	SAMEA2259693	S
ERR459861	SAMEA2259694	S
ERR459862	SAMEA2259695	S
ERR459863	SAMEA2259696	S
ERR459967	SAMEA2259697	S
ERR459968	SAMEA2259698	S
ERR459864	SAMEA2259699	S
ERR459969	SAMEA2259700	S
ERR459970	SAMEA2259701	S
ERR459865	SAMEA2259702	S
ERR459971	SAMEA2259703	S
ERR459972	SAMEA2259704	S
ERR459973	SAMEA2259705	S
ERR459974	SAMEA2259706	S
ERR459976	SAMEA2259709	S
ERR459978	SAMEA2259712	S
ERR459979	SAMEA2259713	S
ERR459980	SAMEA2259714	S
ERR459981	SAMEA2259715	S
ERR459982	SAMEA2259716	S
ERR459983	SAMEA2259717	S
ERR459868	SAMEA2259718	S
ERR459869	SAMEA2259719	R
ERR459870	SAMEA2259720	S
ERR459984	SAMEA2259721	S
ERR459985	SAMEA2259722	S
ERR459986	SAMEA2259723	S
ERR459871	SAMEA2259724	S
ERR459987	SAMEA2259725	S
ERR459988	SAMEA2266481	R
ERR459989	SAMEA2266482	R
ERR459990	SAMEA2266483	R
ERR459991	SAMEA2266484	R
ERR459992	SAMEA2266485	R
ERR459993	SAMEA2266486	R
ERR459994	SAMEA2266487	R
ERR459995	SAMEA2266488	R
ERR459996	SAMEA2266489	R
ERR459997	SAMEA2266490	R
ERR459998	SAMEA2266491	R
ERR459999	SAMEA2266492	R
ERR460000	SAMEA2266493	R
ERR460001	SAMEA2266494	R
ERR460002	SAMEA2266495	R
ERR460003	SAMEA2266496	R
ERR460004	SAMEA2266497	R
ERR460005	SAMEA2266498	R
ERR460006	SAMEA2266499	R
ERR460007	SAMEA2266500	R
ERR460008	SAMEA2266501	S
ERR460009	SAMEA2266502	S
ERR460010	SAMEA2266503	S
ERR460011	SAMEA2266504	S
ERR460012	SAMEA2266505	S
ERR460013	SAMEA2266506	S
ERR460014	SAMEA2266507	S
ERR460015	SAMEA2266508	S
ERR460016	SAMEA2266509	S
ERR460017	SAMEA2266510	S
ERR494980	SAMEA2266511	S
ERR460018	SAMEA2266512	S
ERR460019	SAMEA2266513	S
ERR460020	SAMEA2266514	S
ERR460021	SAMEA2266515	S
ERR460022	SAMEA2266516	S
ERR460023	SAMEA2266517	S
ERR460024	SAMEA2266518	S
ERR494981	SAMEA2266519	S
ERR460025	SAMEA2266520	S
ERR460026	SAMEA2266521	R
ERR460027	SAMEA2266522	R
ERR460028	SAMEA2266523	R
ERR460029	SAMEA2266524	S
ERR460030	SAMEA2266525	R
ERR460031	SAMEA2266526	R
ERR494982	SAMEA2266527	R
ERR460032	SAMEA2266528	S
ERR460033	SAMEA2266529	S
ERR460034	SAMEA2266530	S
ERR460035	SAMEA2266531	S
ERR460036	SAMEA2266532	R
ERR460037	SAMEA2266533	R
ERR460038	SAMEA2266534	R
ERR460039	SAMEA2266535	S
ERR460040	SAMEA2266536	R
ERR460041	SAMEA2266537	S
ERR460042	SAMEA2266538	R
ERR460043	SAMEA2266539	S
ERR460044	SAMEA2266540	R
ERR460045	SAMEA2266541	R
ERR460046	SAMEA2266542	R
ERR460047	SAMEA2266543	R
ERR460048	SAMEA2266544	R
ERR460049	SAMEA2266545	R
ERR460050	SAMEA2266546	R
ERR460051	SAMEA2266547	R
ERR460052	SAMEA2266548	R
ERR460053	SAMEA2266549	R
ERR460054	SAMEA2266550	R
ERR460055	SAMEA2266551	R
ERR460056	SAMEA2266552	R
ERR460057	SAMEA2266553	R
ERR460058	SAMEA2266554	R
ERR460059	SAMEA2266555	R
ERR460060	SAMEA2266556	R
ERR460061	SAMEA2266557	R
ERR460062	SAMEA2266558	R
ERR460063	SAMEA2266559	R
ERR460064	SAMEA2266560	S
ERR460065	SAMEA2266561	S
ERR460066	SAMEA2266562	S
ERR460067	SAMEA2266563	S
ERR460068	SAMEA2266564	S
ERR460069	SAMEA2266565	S
ERR459872	SAMEA2266566	S
ERR460070	SAMEA2266567	S
ERR460071	SAMEA2266568	R
ERR460072	SAMEA2266569	S
ERR460073	SAMEA2266570	S
ERR460074	SAMEA2266571	S
ERR460075	SAMEA2266572	S
ERR460076	SAMEA2266573	S
ERR459873	SAMEA2266574	S
ERR460077	SAMEA2266575	S
ERR460078	SAMEA2266576	S
ERR460079	SAMEA2266577	S
ERR459874	SAMEA2266578	S
ERR460080	SAMEA2266579	S
ERR460081	SAMEA2266580	R
ERR460082	SAMEA2266581	R
ERR460083	SAMEA2266582	R
ERR460084	SAMEA2266583	R
ERR460085	SAMEA2266584	R
ERR460086	SAMEA2266585	R
ERR460087	SAMEA2266586	R
ERR460088	SAMEA2266587	R
ERR460089	SAMEA2266588	R
ERR460090	SAMEA2266589	R
ERR460091	SAMEA2266590	R
ERR460092	SAMEA2266591	R
ERR459875	SAMEA2266592	R
ERR460093	SAMEA2266593	R
ERR460094	SAMEA2266594	R
ERR460095	SAMEA2266595	R
ERR460096	SAMEA2266596	R
ERR459876	SAMEA2266597	R
ERR459877	SAMEA2266598	R
ERR459878	SAMEA2266599	R
ERR459879	SAMEA2266600	S
ERR459880	SAMEA2266601	S
ERR459881	SAMEA2266602	S
ERR459882	SAMEA2266603	S
ERR459883	SAMEA2266604	S
ERR459884	SAMEA2266605	S
ERR459885	SAMEA2266606	S
ERR459886	SAMEA2266607	S
ERR459887	SAMEA2266608	S
ERR459888	SAMEA2266609	S
ERR459889	SAMEA2266610	S
ERR459890	SAMEA2266611	S
ERR459891	SAMEA2266612	S
ERR459892	SAMEA2266613	S
ERR459893	SAMEA2266614	S
ERR459894	SAMEA2266615	S
ERR459895	SAMEA2266616	S
ERR459896	SAMEA2266617	S
ERR459897	SAMEA2266618	S
ERR459898	SAMEA2266619	S
ERR459899	SAMEA2266620	S
ERR459900	SAMEA2266621	S
ERR459901	SAMEA2266622	S
ERR459902	SAMEA2266623	S
ERR459903	SAMEA2266624	S
ERR459904	SAMEA2266625	S
ERR459905	SAMEA2266626	S
ERR459906	SAMEA2266627	S
ERR459907	SAMEA2266628	S
ERR459908	SAMEA2266629	S
ERR459909	SAMEA2266630	S
ERR459910	SAMEA2266631	S
ERR459911	SAMEA2266632	S
ERR459912	SAMEA2266633	S
ERR459913	SAMEA2266634	S
ERR459914	SAMEA2266635	S
ERR459915	SAMEA2266636	S
ERR459916	SAMEA2266637	S
ERR459917	SAMEA2266638	S
ERR459918	SAMEA2266639	S
ERR459919	SAMEA2266640	S
ERR473267	SAMEA2275627	S
ERR473268	SAMEA2275628	R
ERR473269	SAMEA2275629	R
ERR473270	SAMEA2275630	R
ERR473271	SAMEA2275631	S
ERR473272	SAMEA2275632	S
ERR473273	SAMEA2275633	S
ERR473274	SAMEA2275634	R
ERR473275	SAMEA2275635	R
ERR473276	SAMEA2275636	R
ERR484962	SAMEA2275643	S
ERR490667	SAMEA2275644	S
ERR490669	SAMEA2275646	S
ERR484963	SAMEA2275647	S
ERR490670	SAMEA2275648	S
ERR494832	SAMEA2275649	S
ERR494833	SAMEA2275650	S
ERR494834	SAMEA2275651	S
ERR494835	SAMEA2275652	S
ERR490671	SAMEA2275653	S
ERR484964	SAMEA2275654	S
ERR490672	SAMEA2275655	S
ERR490673	SAMEA2275656	S
ERR490674	SAMEA2275657	S
ERR490675	SAMEA2275658	S
ERR490676	SAMEA2275659	R
ERR490677	SAMEA2275660	S
ERR490678	SAMEA2275661	S
ERR490679	SAMEA2275662	S
ERR490680	SAMEA2275663	S
ERR490681	SAMEA2275664	S
ERR490682	SAMEA2275665	S
ERR490683	SAMEA2275666	S
ERR490684	SAMEA2275667	S
ERR490685	SAMEA2275668	S
ERR490686	SAMEA2275669	S
ERR490687	SAMEA2275670	S
ERR484965	SAMEA2275671	S
ERR484966	SAMEA2275672	S
ERR490688	SAMEA2275673	S
ERR490689	SAMEA2275674	S
ERR490690	SAMEA2275675	S
ERR484967	SAMEA2275676	S
ERR490691	SAMEA2275677	S
ERR490692	SAMEA2275678	S
ERR490693	SAMEA2275679	S
ERR490694	SAMEA2275680	S
ERR490695	SAMEA2275681	S
ERR490696	SAMEA2275686	S
ERR490697	SAMEA2275687	S
ERR490698	SAMEA2275688	S
ERR490699	SAMEA2275689	S
ERR490700	SAMEA2275690	S
ERR490701	SAMEA2275691	S
ERR484968	SAMEA2275692	R
ERR490702	SAMEA2275693	S
ERR490703	SAMEA2275694	S
ERR490704	SAMEA2275695	S
ERR494836	SAMEA2275696	S
ERR494837	SAMEA2275697	S
ERR484969	SAMEA2275698	S
ERR494838	SAMEA2275699	S
ERR494839	SAMEA2275700	S
ERR494840	SAMEA2275701	R
ERR494841	SAMEA2275702	S
ERR494842	SAMEA2275703	S
ERR494843	SAMEA2275704	S
ERR494844	SAMEA2275705	R
ERR494845	SAMEA2275706	S
ERR494846	SAMEA2275707	S
ERR494847	SAMEA2275708	S
ERR494848	SAMEA2275709	S
ERR494849	SAMEA2275710	S
ERR494850	SAMEA2275711	S
ERR494851	SAMEA2275712	S
ERR494852	SAMEA2275713	S
ERR494853	SAMEA2275714	S
ERR494854	SAMEA2275715	S
ERR484970	SAMEA2275716	S
ERR494855	SAMEA2275717	S
ERR494856	SAMEA2275718	S
ERR494857	SAMEA2275719	S
ERR494858	SAMEA2275720	S
ERR494859	SAMEA2275721	S
ERR494860	SAMEA2275722	S
ERR494861	SAMEA2275723	S
ERR494862	SAMEA2275724	R
ERR494863	SAMEA2275725	S
ERR494864	SAMEA2275726	S
ERR494865	SAMEA2275727	S
ERR494866	SAMEA2275728	S
ERR484971	SAMEA2275729	S
ERR484972	SAMEA2275730	S
ERR494867	SAMEA2275731	S
ERR484973	SAMEA2275732	S
ERR494868	SAMEA2275733	S
ERR494869	SAMEA2275734	R
ERR494870	SAMEA2275735	S
ERR494871	SAMEA2275736	S
ERR494872	SAMEA2275737	S
ERR494873	SAMEA2275738	S
ERR494874	SAMEA2275739	S
ERR494875	SAMEA2275740	S
ERR494876	SAMEA2275741	S
ERR494877	SAMEA2275742	S
ERR494878	SAMEA2275743	S
ERR494879	SAMEA2275744	S
ERR494880	SAMEA2275745	S
ERR494881	SAMEA2275746	S
ERR494882	SAMEA2275747	S
ERR484974	SAMEA2275748	S
ERR494883	SAMEA2275749	S
ERR494884	SAMEA2275750	S
ERR494885	SAMEA2275751	S
ERR494886	SAMEA2275752	S
ERR494887	SAMEA2275753	S
ERR494888	SAMEA2275754	S
ERR484975	SAMEA2275755	S
ERR494889	SAMEA2275756	S
ERR494890	SAMEA2275757	S
ERR494891	SAMEA2275758	S
ERR494892	SAMEA2275759	S
ERR494893	SAMEA2275760	S
ERR494894	SAMEA2275761	S
ERR494895	SAMEA2275762	S
ERR494896	SAMEA2275763	S
ERR494897	SAMEA2275764	S
ERR494898	SAMEA2275765	S
ERR494899	SAMEA2275766	S
ERR494900	SAMEA2275767	S
ERR494901	SAMEA2275768	S
ERR494902	SAMEA2275769	S
ERR494903	SAMEA2275770	S
ERR494904	SAMEA2275771	S
ERR494905	SAMEA2275772	S
ERR494906	SAMEA2275773	S
ERR494907	SAMEA2275775	S
ERR494908	SAMEA2275776	S
ERR494909	SAMEA2275777	R
ERR494910	SAMEA2275778	S
ERR494911	SAMEA2275779	S
ERR494912	SAMEA2275780	S
ERR494913	SAMEA2275781	S
ERR494914	SAMEA2275782	S
ERR494915	SAMEA2275783	S
ERR494916	SAMEA2275784	S
ERR494917	SAMEA2275785	S
ERR494918	SAMEA2275786	S
ERR494919	SAMEA2275787	S
ERR494920	SAMEA2275788	S
ERR484977	SAMEA2275789	R
ERR494922	SAMEA2275791	S
ERR494923	SAMEA2275792	S
ERR494924	SAMEA2275793	S
ERR494925	SAMEA2275794	S
ERR494926	SAMEA2275795	S
ERR484978	SAMEA2275796	S
ERR494927	SAMEA2275797	S
ERR494928	SAMEA2275798	S
ERR494929	SAMEA2275799	S
ERR494930	SAMEA2275800	S
ERR494931	SAMEA2275801	S
ERR494932	SAMEA2275802	S
ERR494933	SAMEA2275803	S
ERR494934	SAMEA2275804	S
ERR494935	SAMEA2275805	S
ERR494936	SAMEA2275806	S
ERR484958	SAMEA2275807	S
ERR494937	SAMEA2275808	S
ERR494938	SAMEA2275809	S
ERR494939	SAMEA2275810	S
ERR494940	SAMEA2275811	S
ERR494941	SAMEA2275812	S
ERR484979	SAMEA2275813	S
ERR484980	SAMEA2275814	S
ERR484981	SAMEA2275815	S
ERR494942	SAMEA2275816	S
ERR494943	SAMEA2275817	S
ERR494944	SAMEA2275818	S
ERR494945	SAMEA2275819	S
ERR494946	SAMEA2275820	S
ERR494947	SAMEA2275821	S
ERR494948	SAMEA2275822	S
ERR494949	SAMEA2275823	S
ERR494950	SAMEA2275824	S
ERR494951	SAMEA2275825	S
ERR484982	SAMEA2275826	S
ERR484959	SAMEA2275827	S
ERR494952	SAMEA2275828	S
ERR494953	SAMEA2275829	S
ERR484960	SAMEA2275830	S
ERR494954	SAMEA2275831	S
ERR484983	SAMEA2275832	S
ERR494955	SAMEA2275833	S
ERR494956	SAMEA2275834	S
ERR484984	SAMEA2275835	S
ERR484985	SAMEA2275836	S
ERR484986	SAMEA2275837	S
ERR484987	SAMEA2275838	S
ERR484988	SAMEA2275839	S
ERR494957	SAMEA2275840	S
ERR494958	SAMEA2275841	S
ERR494959	SAMEA2275842	S
ERR494960	SAMEA2275843	S
ERR494961	SAMEA2275844	S
ERR494962	SAMEA2275845	S
ERR494963	SAMEA2275846	S
ERR494964	SAMEA2275847	S
ERR494965	SAMEA2275848	S
ERR484989	SAMEA2275849	S
ERR494966	SAMEA2275850	S
ERR494967	SAMEA2275851	S
ERR494968	SAMEA2275852	S
ERR484990	SAMEA2275853	R
ERR494969	SAMEA2275854	S
ERR494970	SAMEA2275855	S
ERR494972	SAMEA2275857	S
ERR484991	SAMEA2275858	S
ERR494973	SAMEA2275859	S
ERR494974	SAMEA2275860	S
ERR484992	SAMEA2275862	S
ERR494976	SAMEA2275863	S
ERR494977	SAMEA2275864	S
ERR494978	SAMEA2275865	S
ERR484993	SAMEA2275866	S
ERR484994	SAMEA2275867	S
ERR484995	SAMEA2275868	S
ERR494979	SAMEA2275869	S
ERR484948	SAMEA2275870	S
ERR484949	SAMEA2275871	S
ERR484996	SAMEA2275872	S
ERR484997	SAMEA2275873	S
ERR484998	SAMEA2275874	S
ERR484999	SAMEA2275875	S
ERR484950	SAMEA2275876	S
ERR485000	SAMEA2275877	S
ERR485001	SAMEA2275878	S
ERR485002	SAMEA2275879	S
ERR484951	SAMEA2275880	S
ERR485003	SAMEA2275881	S
ERR485004	SAMEA2275882	S
ERR484952	SAMEA2275883	S
ERR484953	SAMEA2275884	S
ERR484961	SAMEA2275885	S
ERR484954	SAMEA2275886	S
ERR484955	SAMEA2275887	R
ERR485005	SAMEA2275888	S
ERR484956	SAMEA2275889	S
ERR484957	SAMEA2275890	S
ERR516497	SAMEA2376773	S
ERR516498	SAMEA2376774	R
ERR516499	SAMEA2376775	R
ERR572847	SAMEA2518390	R
ERR1045540	SAMEA3375692	S
ERR1045541	SAMEA3375693	S
ERR1045542	SAMEA3375694	S
ERR1045543	SAMEA3375695	S
ERR1045544	SAMEA3375696	S
ERR1045545	SAMEA3375697	S
ERR1045546	SAMEA3375698	S
ERR1045534	SAMEA3375699	S
ERR1045547	SAMEA3375700	S
ERR1045548	SAMEA3375701	S
ERR1045549	SAMEA3375702	S
ERR1045550	SAMEA3375703	S
ERR1045551	SAMEA3375704	S
ERR1045552	SAMEA3375705	S
ERR1045553	SAMEA3375706	S
ERR1045554	SAMEA3375707	S
ERR1045555	SAMEA3375708	S
ERR1045556	SAMEA3375709	S
ERR1045557	SAMEA3375710	S
ERR1045558	SAMEA3375711	S
ERR1045559	SAMEA3375712	S
ERR1045560	SAMEA3375713	S
ERR1045561	SAMEA3375714	S
ERR1045562	SAMEA3375715	S
ERR1045563	SAMEA3375716	S
ERR1045564	SAMEA3375717	S
ERR1045565	SAMEA3375718	S
ERR1045566	SAMEA3375719	S
ERR1045567	SAMEA3375720	S
ERR1045568	SAMEA3375721	S
ERR1045569	SAMEA3375722	S
ERR1045570	SAMEA3375723	S
ERR1045571	SAMEA3375724	S
ERR1045572	SAMEA3375725	S
ERR1045573	SAMEA3375726	S
ERR1045574	SAMEA3375727	S
ERR1045575	SAMEA3375728	S
ERR1045576	SAMEA3375729	S
ERR1045577	SAMEA3375730	S
ERR1045578	SAMEA3375731	S
ERR1045579	SAMEA3375732	S
ERR1045580	SAMEA3375733	S
ERR1045581	SAMEA3375734	S
ERR1045582	SAMEA3375735	S
ERR1045583	SAMEA3375736	S
ERR1045584	SAMEA3375737	S
ERR1045585	SAMEA3375738	S
ERR1045586	SAMEA3375739	S
ERR1045587	SAMEA3375740	S
ERR1045588	SAMEA3375741	S
ERR1045589	SAMEA3375742	S
ERR1045590	SAMEA3375743	S
ERR1045591	SAMEA3375744	S
ERR1045592	SAMEA3375745	S
ERR1045594	SAMEA3375747	S
ERR1045595	SAMEA3375748	S
ERR1045596	SAMEA3375749	S
ERR1045597	SAMEA3375750	S
ERR1045598	SAMEA3375751	S
ERR1045599	SAMEA3375752	S
ERR1045600	SAMEA3375753	S
ERR1045601	SAMEA3375754	S
ERR1045602	SAMEA3375755	S
ERR1045603	SAMEA3375756	S
ERR1045604	SAMEA3375757	S
ERR1045605	SAMEA3375758	S
ERR1045606	SAMEA3375759	S
ERR1045607	SAMEA3375760	S
ERR1045608	SAMEA3375761	S
ERR1045609	SAMEA3375762	S
ERR1045610	SAMEA3375763	S
ERR1045611	SAMEA3375764	S
ERR1045612	SAMEA3375765	S
ERR1045613	SAMEA3375766	S
ERR1045614	SAMEA3375767	S
ERR1045615	SAMEA3375768	S
ERR1045616	SAMEA3375769	S
ERR1045617	SAMEA3375770	S
ERR1045618	SAMEA3375771	S
ERR1045619	SAMEA3375772	S
ERR1045620	SAMEA3375773	S
ERR1045621	SAMEA3375774	S
ERR1045622	SAMEA3375775	S
ERR1045623	SAMEA3375776	S
ERR1045624	SAMEA3375777	S
ERR1045625	SAMEA3375778	S
ERR1045626	SAMEA3375779	S
ERR1045627	SAMEA3375780	S
ERR1045628	SAMEA3375781	S
ERR1045629	SAMEA3375782	S
ERR1045535	SAMEA3375783	S
ERR1045630	SAMEA3375784	S
ERR1045631	SAMEA3375785	S
ERR1045632	SAMEA3375786	S
ERR1045633	SAMEA3375787	S
ERR1045634	SAMEA3375788	S
ERR1045635	SAMEA3375789	S
ERR1045636	SAMEA3375790	S
ERR1045637	SAMEA3375791	S
ERR1045638	SAMEA3375792	S
ERR1045639	SAMEA3375793	S
ERR1045640	SAMEA3375794	S
ERR1045641	SAMEA3375795	S
ERR1045642	SAMEA3375796	S
ERR1045643	SAMEA3375797	S
ERR1045644	SAMEA3375798	S
ERR1045645	SAMEA3375799	S
ERR1045646	SAMEA3375800	S
ERR1045647	SAMEA3375801	S
ERR1045648	SAMEA3375802	S
ERR1045649	SAMEA3375803	S
ERR1045650	SAMEA3375804	S
ERR1045651	SAMEA3375805	S
ERR1045652	SAMEA3375806	S
ERR1045653	SAMEA3375807	S
ERR1045654	SAMEA3375808	S
ERR1045655	SAMEA3375809	S
ERR1045656	SAMEA3375810	S
ERR1045657	SAMEA3375811	S
ERR1045658	SAMEA3375812	S
ERR1045659	SAMEA3375813	S
ERR1045660	SAMEA3375814	S
ERR1045661	SAMEA3375815	S
ERR1045662	SAMEA3375816	S
ERR1045663	SAMEA3375817	S
ERR1045664	SAMEA3375818	S
ERR1045665	SAMEA3375819	S
ERR1045666	SAMEA3375820	S
ERR1045667	SAMEA3375821	S
ERR1045668	SAMEA3375822	S
ERR1045669	SAMEA3375823	S
ERR1045670	SAMEA3375824	S
ERR1045671	SAMEA3375825	S
ERR1045672	SAMEA3375826	S
ERR1045673	SAMEA3375827	S
ERR1045536	SAMEA3375828	S
ERR1045674	SAMEA3375829	S
ERR1045675	SAMEA3375830	S
ERR1045676	SAMEA3375831	S
ERR1045677	SAMEA3375832	S
ERR1045678	SAMEA3375833	S
ERR1045679	SAMEA3375834	S
ERR1045537	SAMEA3375835	S
ERR1045680	SAMEA3375836	S
ERR1045681	SAMEA3375837	S
ERR1045682	SAMEA3375838	S
ERR1045683	SAMEA3375839	S
ERR1045684	SAMEA3375840	S
ERR1045685	SAMEA3375841	S
ERR1045686	SAMEA3375842	S
ERR1045687	SAMEA3375843	S
ERR1045538	SAMEA3375844	S
ERR1045688	SAMEA3375845	S
ERR1045689	SAMEA3375846	S
ERR1045690	SAMEA3375847	S
ERR1045691	SAMEA3375848	S
ERR1045692	SAMEA3375849	S
ERR1045693	SAMEA3375850	S
ERR1045694	SAMEA3375851	S
ERR1045695	SAMEA3375852	S
ERR1045696	SAMEA3375853	S
ERR1215659	SAMEA3375854	S
ERR1045697	SAMEA3375855	S
ERR1045698	SAMEA3375856	S
ERR1045699	SAMEA3375857	S
ERR1045700	SAMEA3375858	S
ERR1045539	SAMEA3375859	S
ERR1045701	SAMEA3375860	S
ERR1045702	SAMEA3375861	S
ERR1045703	SAMEA3375862	S
ERR1045704	SAMEA3375863	S
ERR1045705	SAMEA3375864	S
ERR1045706	SAMEA3375865	S
ERR1045707	SAMEA3375866	S
ERR1045708	SAMEA3375867	S
ERR1045709	SAMEA3375868	S
ERR1045710	SAMEA3375869	S
ERR1045711	SAMEA3375870	S
ERR1045712	SAMEA3375871	S
ERR1045713	SAMEA3375872	S
ERR1045714	SAMEA3375873	S
ERR1045715	SAMEA3375874	S
ERR1045716	SAMEA3375875	S
