sample_name	biosample	amikacin_call
ERR343193	SAMEA1964383	S
ERR363377	SAMEA1964489	S
ERR330814	SAMEA1964620	S
ERR330896	SAMEA1965051	S
ERR330769	SAMEA1965061	S
ERR363302	SAMEA1965955	S
ERR363240	SAMEA1966176	S
ERR363375	SAMEA1966274	S
ERR337848	SAMEA1966485	S
ERR363504	SAMEA1966577	S
ERR337803	SAMEA1967286	S
ERR330911	SAMEA1967325	S
ERR337832	SAMEA1967392	S
ERR363416	SAMEA1967818	S
ERR363472	SAMEA1968765	S
ERR369168	SAMEA1968959	R
ERR330864	SAMEA1969055	S
ERR343224	SAMEA1969436	R
ERR337865	SAMEA1969449	S
ERR340553	SAMEA1969770	S
ERR330876	SAMEA1970107	S
ERR340538	SAMEA1970161	S
ERR330863	SAMEA1970807	S
ERR363383	SAMEA1971044	S
ERR330884	SAMEA1971196	S
ERR369165	SAMEA1971262	S
ERR369149	SAMEA1971359	S
ERR343182	SAMEA1971773	S
ERR363462	SAMEA1972218	S
ERR349293	SAMEA1973117	S
ERR373963	SAMEA1973430	S
ERR337819	SAMEA1973540	S
ERR330777	SAMEA1973559	S
ERR374022	SAMEA1973616	S
ERR363250	SAMEA1973643	S
ERR330866	SAMEA2068664	S
ERR330869	SAMEA2068665	S
ERR330872	SAMEA2068666	S
ERR330875	SAMEA2068667	S
ERR330878	SAMEA2068668	S
ERR330881	SAMEA2068669	S
ERR330887	SAMEA2068670	S
ERR330890	SAMEA2068671	S
ERR330893	SAMEA2068672	S
ERR330899	SAMEA2068673	S
ERR330902	SAMEA2068674	S
ERR330905	SAMEA2068675	S
ERR330908	SAMEA2068676	S
ERR330914	SAMEA2068677	S
ERR330917	SAMEA2068678	S
ERR330920	SAMEA2068679	S
ERR337825	SAMEA2068681	S
ERR337828	SAMEA2068682	S
ERR337831	SAMEA2068683	S
ERR340568	SAMEA2068740	R
ERR340571	SAMEA2068741	S
ERR337834	SAMEA2068793	S
ERR337837	SAMEA2068794	S
ERR337840	SAMEA2068795	S
ERR337843	SAMEA2068796	S
ERR337846	SAMEA2068797	S
ERR337849	SAMEA2068798	S
ERR337852	SAMEA2068799	S
ERR337855	SAMEA2068800	S
ERR337858	SAMEA2068801	S
ERR337861	SAMEA2068802	S
ERR337864	SAMEA2068803	S
ERR337867	SAMEA2068804	S
ERR337870	SAMEA2068805	S
ERR337873	SAMEA2068806	S
ERR337876	SAMEA2068807	S
ERR337879	SAMEA2068808	S
ERR337882	SAMEA2068809	S
ERR337885	SAMEA2068810	S
ERR337888	SAMEA2068811	S
ERR337891	SAMEA2068812	S
ERR337894	SAMEA2068813	S
ERR337897	SAMEA2068814	S
ERR337900	SAMEA2068815	S
ERR343176	SAMEA2068816	S
ERR343179	SAMEA2068817	S
ERR343185	SAMEA2068953	S
ERR343191	SAMEA2068955	S
ERR343194	SAMEA2068956	S
ERR343197	SAMEA2068957	S
ERR343200	SAMEA2068958	S
ERR343206	SAMEA2068960	S
ERR343209	SAMEA2068961	S
ERR343212	SAMEA2068962	S
ERR343215	SAMEA2068963	S
ERR343217	SAMEA2068964	S
ERR374083	SAMEA2068965	S
ERR343221	SAMEA2068966	S
ERR374089	SAMEA2068967	S
ERR351973	SAMEA2068968	S
ERR343228	SAMEA2068969	S
ERR343230	SAMEA2068970	S
ERR343231	SAMEA2068971	S
ERR343234	SAMEA2068972	S
ERR351977	SAMEA2068973	S
ERR343239	SAMEA2068974	S
ERR343242	SAMEA2068975	S
ERR374116	SAMEA2068976	S
ERR343246	SAMEA2069132	S
ERR374122	SAMEA2069133	S
ERR374125	SAMEA2069134	S
ERR340498	SAMEA2069135	S
ERR340501	SAMEA2069136	S
ERR374137	SAMEA2069138	S
ERR340510	SAMEA2069139	S
ERR340513	SAMEA2069140	S
ERR340516	SAMEA2069141	S
ERR340519	SAMEA2069142	S
ERR340522	SAMEA2069143	S
ERR374155	SAMEA2069144	S
ERR374158	SAMEA2069145	S
ERR340531	SAMEA2069146	S
ERR374164	SAMEA2069147	S
ERR340537	SAMEA2069148	S
ERR374170	SAMEA2069149	S
ERR374173	SAMEA2069150	S
ERR340546	SAMEA2069151	S
ERR340549	SAMEA2069152	S
ERR340552	SAMEA2069153	S
ERR340555	SAMEA2069154	S
ERR340558	SAMEA2069155	S
ERR340561	SAMEA2069156	S
ERR374194	SAMEA2069315	S
ERR374197	SAMEA2069316	S
ERR340569	SAMEA2069317	R
ERR340572	SAMEA2069318	S
ERR330752	SAMEA2070152	S
ERR363241	SAMEA2070153	S
ERR363244	SAMEA2070154	S
ERR363247	SAMEA2070155	S
ERR330767	SAMEA2070156	S
ERR330770	SAMEA2070157	S
ERR363259	SAMEA2070158	S
ERR363262	SAMEA2070159	S
ERR330779	SAMEA2070160	S
ERR363268	SAMEA2070161	S
ERR363271	SAMEA2070162	S
ERR330788	SAMEA2070163	S
ERR330791	SAMEA2070164	S
ERR363280	SAMEA2070165	S
ERR363283	SAMEA2070166	S
ERR363286	SAMEA2070167	S
ERR330803	SAMEA2070285	S
ERR363292	SAMEA2070286	S
ERR330809	SAMEA2070287	S
ERR363298	SAMEA2070288	S
ERR363301	SAMEA2070289	S
ERR363304	SAMEA2070290	S
ERR330821	SAMEA2070291	S
ERR363310	SAMEA2070292	S
ERR363313	SAMEA2070293	S
ERR337735	SAMEA2070297	S
ERR363331	SAMEA2070298	R
ERR363334	SAMEA2070299	S
ERR363337	SAMEA2070300	S
ERR337750	SAMEA2070301	S
ERR337753	SAMEA2070302	S
ERR337756	SAMEA2070303	S
ERR363349	SAMEA2070304	S
ERR363355	SAMEA2070306	S
ERR363358	SAMEA2070307	R
ERR363361	SAMEA2070308	S
ERR363364	SAMEA2070411	S
ERR363367	SAMEA2070412	S
ERR363376	SAMEA2070415	S
ERR363379	SAMEA2070416	S
ERR363382	SAMEA2070417	S
ERR363385	SAMEA2070418	S
ERR363388	SAMEA2070419	S
ERR337801	SAMEA2070420	S
ERR363394	SAMEA2070421	S
ERR337807	SAMEA2070422	S
ERR363400	SAMEA2070423	S
ERR363403	SAMEA2070424	S
ERR363406	SAMEA2070425	S
ERR330838	SAMEA2070426	S
ERR330841	SAMEA2070427	S
ERR330844	SAMEA2070428	S
ERR330847	SAMEA2070429	S
ERR330850	SAMEA2070430	S
ERR330853	SAMEA2070431	S
ERR330856	SAMEA2070432	S
ERR330859	SAMEA2070433	S
ERR330862	SAMEA2070434	S
ERR330865	SAMEA2070435	S
ERR330868	SAMEA2070533	S
ERR330871	SAMEA2070534	S
ERR330874	SAMEA2070535	S
ERR330877	SAMEA2070536	S
ERR330880	SAMEA2070537	S
ERR330883	SAMEA2070538	S
ERR330886	SAMEA2070539	S
ERR330889	SAMEA2070540	S
ERR330892	SAMEA2070541	R
ERR330895	SAMEA2070542	S
ERR330898	SAMEA2070543	S
ERR330901	SAMEA2070544	S
ERR330904	SAMEA2070545	R
ERR330907	SAMEA2070546	S
ERR330910	SAMEA2070547	S
ERR330913	SAMEA2070548	S
ERR330916	SAMEA2070549	S
ERR330919	SAMEA2070550	S
ERR337818	SAMEA2070551	S
ERR337821	SAMEA2070552	S
ERR337824	SAMEA2070553	S
ERR337830	SAMEA2070555	S
ERR337833	SAMEA2070556	S
ERR337836	SAMEA2070557	S
ERR330753	SAMEA2070587	S
ERR330756	SAMEA2070588	S
ERR363245	SAMEA2070589	S
ERR363248	SAMEA2070590	S
ERR363251	SAMEA2070591	S
ERR330768	SAMEA2070592	S
ERR363257	SAMEA2070593	S
ERR363260	SAMEA2070594	S
ERR363266	SAMEA2070595	S
ERR363269	SAMEA2070596	S
ERR330786	SAMEA2070597	S
ERR363275	SAMEA2070598	S
ERR363278	SAMEA2070599	S
ERR363281	SAMEA2070600	S
ERR337839	SAMEA2070653	S
ERR337842	SAMEA2070654	S
ERR337845	SAMEA2070655	S
ERR337851	SAMEA2070656	S
ERR337854	SAMEA2070657	S
ERR337857	SAMEA2070658	S
ERR337860	SAMEA2070659	S
ERR337863	SAMEA2070660	S
ERR337866	SAMEA2070661	S
ERR337869	SAMEA2070662	S
ERR337872	SAMEA2070663	S
ERR337875	SAMEA2070664	S
ERR337878	SAMEA2070665	S
ERR337881	SAMEA2070666	S
ERR337884	SAMEA2070667	S
ERR337887	SAMEA2070668	S
ERR337890	SAMEA2070669	S
ERR337893	SAMEA2070670	S
ERR337896	SAMEA2070671	S
ERR337899	SAMEA2070672	S
ERR343175	SAMEA2070673	S
ERR343178	SAMEA2070674	S
ERR343181	SAMEA2070675	S
ERR343184	SAMEA2070676	S
ERR330798	SAMEA2070695	S
ERR363287	SAMEA2070696	S
ERR363290	SAMEA2070697	S
ERR363293	SAMEA2070698	S
ERR330810	SAMEA2070699	S
ERR330813	SAMEA2070700	S
ERR330819	SAMEA2070701	S
ERR330822	SAMEA2070702	R
ERR363311	SAMEA2070703	S
ERR363314	SAMEA2070704	S
ERR363320	SAMEA2070706	S
ERR363323	SAMEA2070707	S
ERR363329	SAMEA2070709	S
ERR363332	SAMEA2070710	S
ERR337748	SAMEA2070712	S
ERR337751	SAMEA2070713	S
ERR363344	SAMEA2070714	S
ERR363350	SAMEA2070716	S
ERR363353	SAMEA2070717	S
ERR363356	SAMEA2070718	S
ERR343187	SAMEA2070770	S
ERR343190	SAMEA2070771	S
ERR343199	SAMEA2070773	S
ERR343202	SAMEA2070774	S
ERR343205	SAMEA2070775	S
ERR374070	SAMEA2070776	S
ERR343211	SAMEA2070777	S
ERR343214	SAMEA2070778	R
ERR351969	SAMEA2070779	S
ERR351970	SAMEA2070780	S
ERR343220	SAMEA2070781	S
ERR343223	SAMEA2070782	S
ERR343227	SAMEA2070784	S
ERR351974	SAMEA2070785	S
ERR374100	SAMEA2070786	S
ERR343233	SAMEA2070787	S
ERR343236	SAMEA2070788	S
ERR343238	SAMEA2070789	S
ERR343241	SAMEA2070790	S
ERR351978	SAMEA2070791	S
ERR343245	SAMEA2070792	S
ERR343248	SAMEA2070793	S
ERR363359	SAMEA2070817	S
ERR363362	SAMEA2070818	S
ERR363365	SAMEA2070819	S
ERR363368	SAMEA2070820	S
ERR363371	SAMEA2070821	S
ERR363374	SAMEA2070822	S
ERR363380	SAMEA2070823	S
ERR363386	SAMEA2070824	S
ERR363389	SAMEA2070825	S
ERR363392	SAMEA2070826	S
ERR363398	SAMEA2070828	S
ERR337811	SAMEA2070829	S
ERR337814	SAMEA2070830	S
ERR330836	SAMEA2070831	S
ERR330839	SAMEA2070832	S
ERR330842	SAMEA2070833	S
ERR330845	SAMEA2070834	S
ERR330848	SAMEA2070835	S
ERR330851	SAMEA2070836	S
ERR330854	SAMEA2070837	S
ERR330857	SAMEA2070838	S
ERR330860	SAMEA2070839	S
ERR374124	SAMEA2070890	S
ERR340497	SAMEA2070891	S
ERR340500	SAMEA2070892	S
ERR340503	SAMEA2070893	S
ERR340506	SAMEA2070894	S
ERR374139	SAMEA2070895	S
ERR340512	SAMEA2070896	S
ERR340515	SAMEA2070897	S
ERR340518	SAMEA2070898	S
ERR340521	SAMEA2070899	S
ERR374154	SAMEA2070900	S
ERR374157	SAMEA2070901	S
ERR340530	SAMEA2070902	S
ERR374163	SAMEA2070903	S
ERR340536	SAMEA2070904	S
ERR340539	SAMEA2070905	S
ERR340542	SAMEA2070906	R
ERR340545	SAMEA2070907	S
ERR374178	SAMEA2070908	S
ERR374181	SAMEA2070909	S
ERR340554	SAMEA2070910	S
ERR374187	SAMEA2070911	S
ERR340560	SAMEA2070912	S
ERR374196	SAMEA2070914	S
ERR363237	SAMEA2071132	S
ERR363243	SAMEA2071133	S
ERR363246	SAMEA2071134	S
ERR363249	SAMEA2071135	S
ERR363252	SAMEA2071136	S
ERR363258	SAMEA2071181	S
ERR363261	SAMEA2071182	S
ERR363264	SAMEA2071183	S
ERR363267	SAMEA2071184	S
ERR363270	SAMEA2071185	S
ERR363273	SAMEA2071186	S
ERR363276	SAMEA2071187	S
ERR363279	SAMEA2071188	S
ERR363282	SAMEA2071189	S
ERR330799	SAMEA2071190	S
ERR363288	SAMEA2071191	S
ERR330805	SAMEA2071192	S
ERR330808	SAMEA2071193	S
ERR330811	SAMEA2071194	S
ERR330817	SAMEA2071195	S
ERR363306	SAMEA2071196	S
ERR363309	SAMEA2071197	R
ERR363312	SAMEA2071198	S
ERR330829	SAMEA2071199	S
ERR363321	SAMEA2071201	S
ERR337734	SAMEA2071202	S
ERR363330	SAMEA2071230	S
ERR363333	SAMEA2071231	S
ERR337746	SAMEA2071232	S
ERR337749	SAMEA2071233	S
ERR337752	SAMEA2071234	S
ERR363345	SAMEA2071235	S
ERR363348	SAMEA2071236	S
ERR363351	SAMEA2071237	S
ERR363357	SAMEA2071239	R
ERR363360	SAMEA2071240	S
ERR363363	SAMEA2071241	S
ERR363366	SAMEA2071242	S
ERR363372	SAMEA2071244	S
ERR363378	SAMEA2071245	S
ERR363381	SAMEA2071246	S
ERR363384	SAMEA2071247	S
ERR363387	SAMEA2071248	S
ERR363390	SAMEA2071249	S
ERR363396	SAMEA2071250	S
ERR363399	SAMEA2071251	R
ERR363402	SAMEA2071252	S
ERR363405	SAMEA2071281	S
ERR330837	SAMEA2071282	S
ERR330840	SAMEA2071283	S
ERR330843	SAMEA2071284	S
ERR330846	SAMEA2071285	S
ERR330849	SAMEA2071286	S
ERR330852	SAMEA2071287	S
ERR330855	SAMEA2071288	R
ERR330858	SAMEA2071289	S
ERR330861	SAMEA2071290	S
ERR330867	SAMEA2071291	S
ERR330870	SAMEA2071292	S
ERR330873	SAMEA2071293	S
ERR330879	SAMEA2071294	S
ERR330882	SAMEA2071295	S
ERR330885	SAMEA2071296	S
ERR330888	SAMEA2071297	S
ERR369226	SAMEA2071298	S
ERR330894	SAMEA2071299	S
ERR330897	SAMEA2071300	S
ERR330900	SAMEA2071301	S
ERR330903	SAMEA2071302	S
ERR330906	SAMEA2071303	S
ERR330909	SAMEA2071353	S
ERR330915	SAMEA2071354	S
ERR330918	SAMEA2071355	S
ERR337817	SAMEA2071356	S
ERR337820	SAMEA2071357	S
ERR337823	SAMEA2071358	S
ERR337826	SAMEA2071359	S
ERR337829	SAMEA2071360	S
ERR337835	SAMEA2071361	S
ERR337838	SAMEA2071362	S
ERR337841	SAMEA2071363	S
ERR337844	SAMEA2071364	S
ERR337847	SAMEA2071365	S
ERR337850	SAMEA2071366	S
ERR337853	SAMEA2071367	S
ERR337856	SAMEA2071368	S
ERR337859	SAMEA2071369	S
ERR337862	SAMEA2071370	S
ERR337868	SAMEA2071371	S
ERR369310	SAMEA2071372	S
ERR337874	SAMEA2071373	S
ERR337877	SAMEA2071374	S
ERR337880	SAMEA2071437	S
ERR337883	SAMEA2071438	S
ERR337886	SAMEA2071439	S
ERR337889	SAMEA2071440	S
ERR337892	SAMEA2071441	S
ERR337895	SAMEA2071442	S
ERR337898	SAMEA2071443	S
ERR337901	SAMEA2071444	S
ERR343177	SAMEA2071445	S
ERR343180	SAMEA2071446	S
ERR343183	SAMEA2071447	S
ERR343186	SAMEA2071448	S
ERR343189	SAMEA2071449	S
ERR343192	SAMEA2071450	S
ERR343195	SAMEA2071451	S
ERR343198	SAMEA2071452	R
ERR343201	SAMEA2071453	S
ERR343204	SAMEA2071454	S
ERR343207	SAMEA2071455	S
ERR343210	SAMEA2071456	S
ERR343213	SAMEA2071457	S
ERR343216	SAMEA2071458	S
ERR343218	SAMEA2071459	S
ERR343219	SAMEA2071460	S
ERR343222	SAMEA2071461	S
ERR343226	SAMEA2071538	S
ERR343229	SAMEA2071539	S
ERR374099	SAMEA2071540	R
ERR343232	SAMEA2071541	S
ERR343235	SAMEA2071542	S
ERR343240	SAMEA2071544	S
ERR343243	SAMEA2071545	S
ERR343244	SAMEA2071546	S
ERR343247	SAMEA2071547	S
ERR374123	SAMEA2071548	S
ERR374126	SAMEA2071549	S
ERR340499	SAMEA2071550	S
ERR340502	SAMEA2071551	S
ERR340505	SAMEA2071552	S
ERR340508	SAMEA2071553	S
ERR340511	SAMEA2071554	S
ERR340514	SAMEA2071555	S
ERR374147	SAMEA2071556	S
ERR340520	SAMEA2071557	S
ERR374153	SAMEA2071558	S
ERR374156	SAMEA2071559	S
ERR340529	SAMEA2071560	S
ERR374162	SAMEA2071561	S
ERR340535	SAMEA2071615	S
ERR374171	SAMEA2071616	S
ERR340544	SAMEA2071617	S
ERR340547	SAMEA2071618	R
ERR340550	SAMEA2071619	S
ERR340556	SAMEA2071620	S
ERR340559	SAMEA2071621	S
ERR340562	SAMEA2071622	S
ERR374195	SAMEA2071623	S
ERR340567	SAMEA2071624	R
ERR340570	SAMEA2071625	S
ERR374204	SAMEA2071626	S
ERR349280	SAMEA2142402	S
ERR349273	SAMEA2142489	R
ERR363486	SAMEA2142610	S
ERR373959	SAMEA2142635	S
ERR374017	SAMEA2142639	S
ERR363461	SAMEA2142656	S
ERR373951	SAMEA2142728	S
ERR349278	SAMEA2142729	S
ERR363478	SAMEA2142752	S
ERR373952	SAMEA2143474	S
ERR349271	SAMEA2143481	S
ERR349295	SAMEA2143533	S
ERR349284	SAMEA2143576	S
ERR373942	SAMEA2143632	S
ERR373956	SAMEA2143970	S
ERR374018	SAMEA2144043	S
ERR373992	SAMEA2144096	S
ERR349270	SAMEA2144260	S
ERR363477	SAMEA2144384	S
