sample_name	HOST	Instrument	Collection_month	species_paper_subset	State	Premises	isolation_source_cleaned	cleaned_host	binary_host
SRR29455612	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455613	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455614	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455627	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455634	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455642	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455643	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29182377	CHICKEN	Illumina iSeq 100	NA	NA	NA	NA	swab	chicken	bird
SRR29182378	CHICKEN	Illumina iSeq 100	NA	NA	NA	NA	swab	chicken	bird
SRR29182379	CHICKEN	Illumina iSeq 100	NA	NA	NA	NA	swab	chicken	bird
SRR29182380	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29182381	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29182382	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	swab	cattle	cattle
SRR29182383	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29182384	GOOSE	NextSeq 2000	NA	NA	NA	NA	swab	goose	bird
SRR29182385	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29182386	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29182387	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29182388	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29182389	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29182390	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29182391	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29182392	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29182393	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	milk	cattle	cattle
SRR29182394	CHICKEN	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR29182395	CHICKEN	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR28834894	cattle	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28834895	Domestic Cat	Illumina iSeq 100	NA	NA	NA	NA	NA	domestic cat	NA
SRR28834896	Domestic Cat	Illumina iSeq 100	NA	NA	NA	NA	NA	domestic cat	NA
SRR28834897	GOAT	Illumina MiSeq	NA	NA	NA	NA	NA	goat	NA
SRR28834898	Western Sandpiper	Illumina MiSeq	NA	NA	NA	NA	NA	western sandpiper	bird
SRR28834912	Skunk	Illumina MiSeq	NA	NA	NA	NA	NA	skunk	NA
SRR28834913	Mute Swan	Illumina MiSeq	NA	NA	NA	NA	NA	mute swan	bird
SRR28834914	Mountain Lion	Illumina iSeq 100	NA	NA	NA	NA	NA	mountain lion	NA
SRR28834915	Duck	Illumina iSeq 100	NA	NA	NA	NA	NA	duck	bird
SRR28834916	Chicken	Illumina iSeq 100	NA	NA	NA	NA	NA	chicken	bird
SRR28834917	Canada Goose	Illumina MiSeq	NA	NA	NA	NA	NA	canada goose	bird
SRR28834918	Chicken	Illumina iSeq 100	NA	NA	NA	NA	NA	chicken	bird
SRR28834919	Chicken	Illumina iSeq 100	NA	NA	NA	NA	NA	chicken	bird
SRR28834920	American Crow	Illumina MiSeq	NA	NA	NA	NA	NA	american crow	bird
SRR28834921	Chicken	Illumina iSeq 100	NA	NA	NA	NA	NA	chicken	bird
SRR28834922	Chicken	Illumina iSeq 100	NA	NA	NA	NA	NA	chicken	bird
SRR28834923	Chicken	Illumina iSeq 100	NA	NA	NA	NA	NA	chicken	bird
SRR28834924	Turkey	Illumina iSeq 100	NA	NA	NA	NA	NA	turkey	bird
SRR28834925	Turkey	Illumina iSeq 100	NA	NA	NA	NA	NA	turkey	bird
SRR28834931	Canada Goose	Illumina MiSeq	NA	NA	NA	NA	NA	canada goose	bird
SRR28834933	Red Tailed Hawk	Illumina MiSeq	NA	NA	NA	NA	NA	red tailed hawk	bird
SRR28834934	Skunk	Illumina MiSeq	NA	NA	NA	NA	NA	skunk	NA
SRR28834935	Bald Eagle	Illumina MiSeq	NA	NA	NA	NA	NA	bald eagle	bird
SRR28834936	Skunk	Illumina MiSeq	NA	NA	NA	NA	NA	skunk	NA
SRR28834937	Snow Goose	Illumina MiSeq	NA	NA	NA	NA	NA	snow goose	bird
SRR28834938	Chicken	Illumina MiSeq	NA	NA	NA	NA	NA	chicken	bird
SRR28834939	Turkey Vulture	Illumina MiSeq	NA	NA	NA	NA	NA	turkey vulture	bird
SRR28834940	Snow Goose	Illumina MiSeq	NA	NA	NA	NA	NA	snow goose	bird
SRR28834941	Common Raven	Illumina MiSeq	NA	NA	NA	NA	NA	common raven	bird
SRR28834942	Turkey	Illumina iSeq 100	NA	NA	NA	NA	NA	turkey	bird
SRR28834943	Turkey	Illumina iSeq 100	NA	NA	NA	NA	NA	turkey	bird
SRR28834953	GOAT	Illumina iSeq 100	NA	NA	NA	NA	NA	goat	NA
SRR28834954	GOAT	Illumina iSeq 100	NA	NA	NA	NA	NA	goat	NA
SRR28834955	GOAT	Illumina iSeq 100	NA	NA	NA	NA	NA	goat	NA
SRR28834956	GOAT	Illumina iSeq 100	NA	NA	NA	NA	NA	goat	NA
SRR28834957	GOAT	Illumina iSeq 100	NA	NA	NA	NA	NA	goat	NA
SRR28834958	GOAT	Illumina iSeq 100	NA	NA	NA	NA	NA	goat	NA
SRR28834959	GOAT	Illumina iSeq 100	NA	NA	NA	NA	NA	goat	NA
SRR28834960	GOAT	Illumina MiSeq	NA	NA	NA	NA	NA	goat	NA
SRR28834961	Turkey	Illumina iSeq 100	NA	NA	NA	NA	NA	turkey	bird
SRR28834962	Chicken	Illumina iSeq 100	NA	NA	NA	NA	NA	chicken	bird
SRR28834963	Harris Hawk	Illumina MiSeq	NA	NA	NA	NA	NA	harris hawk	bird
SRR28834964	Red Tailed Hawk	Illumina MiSeq	NA	NA	NA	NA	NA	red tailed hawk	bird
SRR28834850	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28834851	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28834852	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28834853	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28834854	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28834855	PIGEON	Illumina iSeq 100	NA	NA	NA	NA	NA	pigeon	bird
SRR28834884	Chicken	Illumina iSeq 100	NA	NA	NA	NA	NA	chicken	bird
SRR28834885	Mountain Lion	Illumina iSeq 100	NA	NA	NA	NA	NA	mountain lion	NA
SRR28834886	Canada Goose	Illumina MiSeq	NA	NA	NA	NA	NA	canada goose	bird
SRR28834887	cattle	Illumina MiSeq	NA	NA	NA	NA	NA	cattle	cattle
SRR28834888	cattle	Illumina MiSeq	NA	NA	NA	NA	NA	cattle	cattle
SRR28834889	cattle	Illumina MiSeq	NA	NA	NA	NA	NA	cattle	cattle
SRR28834890	cattle	Illumina MiSeq	NA	NA	NA	NA	NA	cattle	cattle
SRR28834891	cattle	Illumina MiSeq	NA	NA	NA	NA	NA	cattle	cattle
SRR28834892	cattle	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28834893	cattle	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28834899	GOAT	Illumina MiSeq	NA	NA	NA	NA	NA	goat	NA
SRR28834900	Mallard	Illumina MiSeq	NA	NA	NA	NA	NA	mallard	bird
SRR28834901	American Crow	Illumina MiSeq	NA	NA	NA	NA	NA	american crow	bird
SRR28834902	Ganada Goose	Illumina MiSeq	NA	NA	NA	NA	NA	ganada goose	bird
SRR28834903	Great Horned Owl	Illumina MiSeq	NA	NA	NA	NA	NA	great horned owl	bird
SRR28834904	Bald Eagle	Illumina iSeq 100	NA	NA	NA	NA	NA	bald eagle	bird
SRR28834905	Red Tailed Hawk	Illumina MiSeq	NA	NA	NA	NA	NA	red tailed hawk	bird
SRR28834906	Skunk	Illumina MiSeq	NA	NA	NA	NA	NA	skunk	NA
SRR28834907	Skunk	Illumina MiSeq	NA	NA	NA	NA	NA	skunk	NA
SRR28834908	Skunk	Illumina MiSeq	NA	NA	NA	NA	NA	skunk	NA
SRR28834909	American Crow	Illumina MiSeq	NA	NA	NA	NA	NA	american crow	bird
SRR28834910	Skunk	Illumina MiSeq	NA	NA	NA	NA	NA	skunk	NA
SRR28834911	Skunk	Illumina MiSeq	NA	NA	NA	NA	NA	skunk	NA
SRR28834926	Turkey	Illumina iSeq 100	NA	NA	NA	NA	NA	turkey	bird
SRR28834927	Turkey	Illumina iSeq 100	NA	NA	NA	NA	NA	turkey	bird
SRR28834928	Turkey	Illumina iSeq 100	NA	NA	NA	NA	NA	turkey	bird
SRR28834929	Snow Goose	Illumina MiSeq	NA	NA	NA	NA	NA	snow goose	bird
SRR28834930	Domestic Cat	Illumina MiSeq	NA	NA	NA	NA	NA	domestic cat	NA
SRR28834944	Chicken	Illumina MiSeq	NA	NA	NA	NA	NA	chicken	bird
SRR28834945	Chicken	Illumina MiSeq	NA	NA	NA	NA	NA	chicken	bird
SRR28834946	Turkey	Illumina MiSeq	NA	NA	NA	NA	NA	turkey	bird
SRR28834947	GOAT	Illumina iSeq 100	NA	NA	NA	NA	NA	goat	NA
SRR28834948	GOAT	Illumina iSeq 100	NA	NA	NA	NA	NA	goat	NA
SRR28834949	GOAT	Illumina iSeq 100	NA	NA	NA	NA	NA	goat	NA
SRR28834950	GOAT	Illumina iSeq 100	NA	NA	NA	NA	NA	goat	NA
SRR28834951	Western Gull	Illumina MiSeq	NA	NA	NA	NA	NA	western gull	bird
SRR28834952	GOAT	Illumina iSeq 100	NA	NA	NA	NA	NA	goat	NA
SRR30202022	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR30202023	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR30202025	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR30202026	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR30202027	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR30202028	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR30202032	CHICKEN	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR30202033	CHICKEN	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR30202034	CAT	NextSeq 2000	NA	NA	NA	NA	NA	cat	NA
SRR30202035	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR30202036	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR30202039	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR30202040	CHICKEN	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR30202041	CHICKEN	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR30202042	CHICKEN	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR30202044	CHICKEN	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR30202045	CHICKEN	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR30202046	CHICKEN	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR30202047	CHICKEN	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR30202048	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29040269	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040270	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040271	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040272	DOMESTIC-CAT	NextSeq 2000	NA	NA	NA	NA	NA	domestic-cat	NA
SRR29040273	DOMESTIC-CAT	NextSeq 2000	NA	NA	NA	NA	NA	domestic-cat	NA
SRR29040274	DOMESTIC-CAT	NextSeq 2000	NA	NA	NA	NA	NA	domestic-cat	NA
SRR29040275	DOMESTIC-CAT	NextSeq 2000	NA	NA	NA	NA	NA	domestic-cat	NA
SRR29040276	RED FOX	NextSeq 2000	NA	NA	NA	NA	NA	red fox	NA
SRR29040277	RED FOX	NextSeq 2000	NA	NA	NA	NA	NA	red fox	NA
SRR29040278	RED FOX	NextSeq 2000	NA	NA	NA	NA	NA	red fox	NA
SRR29040279	RED FOX	NextSeq 2000	NA	NA	NA	NA	NA	red fox	NA
SRR29040280	RED FOX	NextSeq 2000	NA	NA	NA	NA	NA	red fox	NA
SRR29040281	COMON-GRACKLE	NextSeq 2000	NA	NA	NA	NA	NA	comon-grackle	bird
SRR29040282	HAWK	NextSeq 2000	NA	NA	NA	NA	NA	hawk	bird
SRR29040283	TURKEY	NextSeq 2000	NA	NA	NA	NA	NA	turkey	bird
SRR29040284	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040285	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040286	DOMESTIC-CAT	NextSeq 2000	NA	NA	NA	NA	NA	domestic-cat	NA
SRR29040287	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040288	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040289	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040290	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040291	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040292	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040293	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040294	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040295	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040296	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR29040297	DOMESTIC-CAT	NextSeq 2000	NA	NA	NA	NA	NA	domestic-cat	NA
SRR29040298	CATTLE	NextSeq 2000	NA	NA	NA	NA	NA	cattle	cattle
SRR28980984	DOMESTIC CAT	Illumina iSeq 100	NA	NA	NA	NA	NA	domestic cat	NA
SRR28980985	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980986	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980987	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980988	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980989	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980990	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980991	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980992	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980993	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980994	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980995	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980996	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980997	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980998	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28980999	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981000	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981001	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981002	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981003	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981004	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981005	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981006	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981007	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981008	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981009	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981010	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981011	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981012	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981013	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981014	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981015	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981016	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981017	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981018	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981019	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981020	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981021	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981022	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981023	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981024	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981025	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981026	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981027	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981028	RACCOON	Illumina iSeq 100	NA	NA	NA	NA	NA	raccoon	NA
SRR28981029	CHICKEN	Illumina iSeq 100	NA	NA	NA	NA	NA	chicken	bird
SRR28981030	CHICKEN	Illumina iSeq 100	NA	NA	NA	NA	NA	chicken	bird
SRR28981031	DOMESTIC CAT	Illumina iSeq 100	NA	NA	NA	NA	NA	domestic cat	NA
SRR28981032	DOMESTIC CAT	Illumina iSeq 100	NA	NA	NA	NA	NA	domestic cat	NA
SRR28981033	DOMESTIC CAT	Illumina iSeq 100	NA	NA	NA	NA	NA	domestic cat	NA
SRR28981034	TURKEY	Illumina iSeq 100	NA	NA	NA	NA	NA	turkey	bird
SRR28981035	TURKEY	Illumina iSeq 100	NA	NA	NA	NA	NA	turkey	bird
SRR28981036	DOMESTIC CAT	Illumina iSeq 100	NA	NA	NA	NA	NA	domestic cat	NA
SRR28981037	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981038	CATTLE	Illumina iSeq 100	NA	NA	NA	NA	NA	cattle	cattle
SRR28981039	DOMESTIC CAT	Illumina iSeq 100	NA	NA	NA	NA	NA	domestic cat	NA
SRR29740685	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740689	Cattle	Illumina iSeq 100	NA	NA	NA	NA	swab	cattle	cattle
SRR29740694	Cat	Illumina iSeq 100	NA	NA	NA	NA	swab	cat	NA
SRR29740697	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740698	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740706	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740711	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740715	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740718	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740719	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740720	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740722	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740723	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740724	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740726	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740728	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740729	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740730	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740736	Chicken	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR29740742	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740743	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740744	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740747	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740749	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29740753	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455573	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455574	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455575	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455577	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455579	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455580	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455594	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455595	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455596	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455601	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455602	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455605	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455607	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455608	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455609	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455617	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455618	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455619	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455620	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455622	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455623	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455624	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455625	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455626	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455629	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455630	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455632	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455635	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455636	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455637	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455638	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455639	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29455644	Cattle	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543293	TURKEY	NextSeq 2000	NA	NA	NA	NA	swab	turkey	bird
SRR29543294	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543295	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543296	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543297	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543298	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543299	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543300	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543301	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543302	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543303	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543304	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543305	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543306	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543307	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543308	CHICKEN	NextSeq 2000	NA	NA	NA	NA	swab	chicken	bird
SRR29543309	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543310	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543311	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543312	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543313	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543314	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543315	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543316	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543317	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543318	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543319	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543320	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
SRR29543321	CATTLE	NextSeq 2000	NA	NA	NA	NA	milk	cattle	cattle
