sample_name	isolate_name	year_of_isolation	isolate_from_carriage_or_pyomyositis	pvl_presence_inferred_from_blast
SRR6347157	COP867	2008	Carriage	1
SRR6347158	PYO748	2007	Pyomyositis	1
SRR6347159	2012_946	2012	Carriage	0
SRR6347160	2012_67	2012	Carriage	1
SRR6347161	2012_883	2012	Carriage	1
SRR6347162	2012_794	2012	Carriage	0
SRR6347163	COP1348	2008	Carriage	0
SRR6347164	COP1207	2008	Carriage	1
SRR6347165	COP1629	2008	Carriage	0
SRR6347166	2012_898	2012	Carriage	0
SRR6347167	2012_1048	2012	Carriage	0
SRR6347168	COP322	2008	Carriage	0
SRR6347169	PYO2785	2009	Pyomyositis	1
SRR6347170	COP301	2008	Carriage	0
SRR6347171	COP2106	2008	Carriage	0
SRR6347172	COP1433	2008	Carriage	0
SRR6347173	2012_838	2012	Carriage	0
SRR6347174	2012_1004	2012	Carriage	0
SRR6347175	PYO573	2007	Pyomyositis	1
SRR6347176	2012_613	2012	Carriage	0
SRR6347177	2012_319	2012	Carriage	0
SRR6347178	2012_1047	2012	Carriage	0
SRR6347179	COP2028	2008	Carriage	0
SRR6347180	2012_731	2012	Carriage	0
SRR6347181	2012_697	2012	Carriage	1
SRR6347182	PYO375	2007	Pyomyositis	1
SRR6347183	PYO1132	2008	Pyomyositis	1
SRR6347184	COP1657	2008	Carriage	0
SRR6347185	PYO490	2007	Pyomyositis	0
SRR6347186	COP2165	2008	Carriage	0
SRR6347187	COP2120	2008	Carriage	0
SRR6347188	COP2280	2008	Carriage	0
SRR6347189	COP1960	2008	Carriage	1
SRR6347190	COP1671	2008	Carriage	1
SRR6347191	COP1151	2008	Carriage	1
SRR6347192	2012_131	2012	Carriage	0
SRR6347193	COP2284	2008	Carriage	0
SRR6347194	COP848	2008	Carriage	1
SRR6347195	2012_997	2012	Carriage	0
SRR6347196	2012_356.1	2012	Carriage	0
SRR6347197	COP1525	2008	Carriage	0
SRR6347198	2012_401	2012	Carriage	0
SRR6347199	PYO562	2007	Pyomyositis	1
SRR6347200	COP2031	2008	Carriage	0
SRR6347201	COP2138	2008	Carriage	0
SRR6347202	COP1138	2008	Carriage	0
SRR6347203	2012_1020	2012	Carriage	0
SRR6347204	PYO507	2007	Pyomyositis	1
SRR6347205	2012_687	2012	Carriage	0
SRR6347206	COP2311	2008	Carriage	0
SRR6347207	2012_791	2012	Carriage	1
SRR6347208	2012_204	2012	Carriage	0
SRR6347209	PYO2767	2009	Pyomyositis	1
SRR6347210	2012_90	2012	Carriage	0
SRR6347211	2012_173	2012	Carriage	1
SRR6347212	COP1662	2008	Carriage	0
SRR6347213	COP1785	2008	Carriage	0
SRR6347214	COP2143	2008	Carriage	0
SRR6347215	2012_24	2012	Carriage	0
SRR6347216	2012_441	2012	Carriage	1
SRR6347217	PYO554	2007	Pyomyositis	1
SRR6347218	COP2532	2008	Carriage	0
SRR6347219	PYO1952	2010	Pyomyositis	1
SRR6347220	2012_241	2012	Carriage	0
SRR6347221	2012_407	2012	Carriage	1
SRR6347222	COP580	2008	Carriage	0
SRR6347223	PYO671	2007	Pyomyositis	1
SRR6347224	2012_75	2012	Carriage	0
SRR6347225	2012_1042	2012	Carriage	0
SRR6347226	PYO2866	2009	Pyomyositis	1
SRR6347227	COP678	2008	Carriage	1
SRR6347228	COP1613	2008	Carriage	0
SRR6347229	COP1189	2008	Carriage	1
SRR6347230	COP2245	2008	Carriage	1
SRR6347231	2012_680	2012	Carriage	0
SRR6347232	COP2543	2008	Carriage	0
SRR6347233	2012_638	2012	Carriage	0
SRR6347234	COP542	2008	Carriage	0
SRR6347235	2012_628	2012	Carriage	0
SRR6347236	PYO545	2007	Pyomyositis	1
SRR6347237	PYO1232	2008	Pyomyositis	1
SRR6347238	2012_298	2012	Carriage	0
SRR6347239	COP161	2008	Carriage	0
SRR6347240	2012_622	2012	Carriage	0
SRR6347241	2012_358	2012	Carriage	0
SRR6347242	2012_926	2012	Carriage	0
SRR6347243	PYO484	2007	Pyomyositis	1
SRR6347244	COP720	2008	Carriage	0
SRR6347245	COP2282	2008	Carriage	0
SRR6347246	COP1043	2008	Carriage	0
SRR6347247	2012_995	2012	Carriage	0
SRR6347248	COP1166	2008	Carriage	0
SRR6347249	2012_739	2012	Carriage	0
SRR6347250	COP1975	2008	Carriage	1
SRR6347251	COP637	2008	Carriage	0
SRR6347252	2012_584	2012	Carriage	0
SRR6347253	PYO1544	2009	Pyomyositis	1
SRR6347254	2012_1001	2012	Carriage	1
SRR6347255	PYO2506	2010	Pyomyositis	1
SRR6347256	PYO925	2008	Pyomyositis	1
SRR6347257	COP820	2008	Carriage	0
SRR6347258	COP1041	2008	Carriage	0
SRR6347259	2012_931	2012	Carriage	1
SRR6347260	2012_950	2012	Carriage	0
SRR6347261	2012_1	2012	Carriage	1
SRR6347262	COP1840	2008	Carriage	0
SRR6347263	COP1514	2008	Carriage	1
SRR6347264	2012_1029	2012	Carriage	0
SRR6347265	2012_723	2012	Carriage	0
SRR6347266	COP2285	2008	Carriage	0
SRR6347267	COP2368	2008	Carriage	0
SRR6347268	COP327	2008	Carriage	0
SRR6347269	2012_409	2012	Carriage	0
SRR6347270	PYO485	2007	Pyomyositis	1
SRR6347271	COP158	2008	Carriage	0
SRR6347272	2012_391	2012	Carriage	0
SRR6347273	COP1308	2008	Carriage	0
SRR6347274	2012_396	2012	Carriage	0
SRR6347275	COP2303	2008	Carriage	0
SRR6347276	2012_415	2012	Carriage	0
SRR6347277	PYO1007	2008	Pyomyositis	1
SRR6347278	2012_26	2012	Carriage	0
SRR6347279	PYO3085	2011	Pyomyositis	1
SRR6347280	COP770	2008	Carriage	1
SRR6347281	2012_153	2012	Carriage	0
SRR6347282	COP2047	2008	Carriage	0
SRR6347283	2012_324	2012	Carriage	0
SRR6347284	2012_430	2012	Carriage	1
SRR6347285	COP2492	2008	Carriage	0
SRR6347286	COP493	2008	Carriage	0
SRR6347287	PYO2846	2009	Pyomyositis	1
SRR6347288	COP71	2008	Carriage	0
SRR6347289	COP2382	2008	Carriage	0
SRR6347290	2012_1021	2012	Carriage	1
SRR6347291	2012_845	2012	Carriage	0
SRR6347292	COP1498	2008	Carriage	0
SRR6347293	COP584	2008	Carriage	0
SRR6347294	2012_360	2012	Carriage	0
SRR6347295	PYO1627	2009	Pyomyositis	1
SRR6347296	2012_222	2012	Carriage	0
SRR6347297	PYO1350	2009	Pyomyositis	1
SRR6347298	COP622	2008	Carriage	0
SRR6347299	2012_727	2012	Carriage	0
SRR6347300	PYO977	2008	Pyomyositis	1
SRR6347301	COP714	2008	Carriage	0
SRR6347302	2012_699	2012	Carriage	0
SRR6347303	COP1854	2008	Carriage	0
SRR6347304	2012_756	2012	Carriage	0
SRR6347305	2012_60	2012	Carriage	1
SRR6347306	PYO1268	2008	Pyomyositis	1
SRR6347307	COP2530	2008	Carriage	0
SRR6347308	2012_576	2012	Carriage	0
SRR6347309	2012_119	2012	Carriage	0
SRR6347310	2012_689	2012	Carriage	1
SRR6347311	2012_1025	2012	Carriage	0
SRR6347312	PYO3195	2011	Pyomyositis	1
SRR6347313	2012_183	2012	Carriage	0
SRR6347314	COP596	2008	Carriage	0
SRR6347315	PYO1702	2009	Pyomyositis	1
SRR6347316	2012_1006	2012	Carriage	0
SRR6347317	2012_646	2012	Carriage	0
SRR6347318	COP974	2008	Carriage	0
SRR6347319	PYO3233	2011	Pyomyositis	1
SRR6347320	COP2496	2008	Carriage	0
SRR6347321	COP1455	2008	Carriage	0
SRR6347322	2012_598	2012	Carriage	0
SRR6347323	PYO959	2008	Pyomyositis	1
SRR6347324	COP1819	2008	Carriage	0
SRR6347325	COP513	2008	Carriage	0
SRR6347326	PYO477	2007	Pyomyositis	1
SRR6347327	COP980	2008	Carriage	0
SRR6347328	COP2483	2008	Carriage	0
SRR6347329	2012_751	2012	Carriage	0
SRR6347330	COP1527	2008	Carriage	0
SRR6347331	PYO3996	2011	Pyomyositis	1
SRR6347332	PYO578	2007	Pyomyositis	1
SRR6347333	PYO1146	2008	Pyomyositis	1
SRR6347334	PYO971	2008	Pyomyositis	1
SRR6347335	COP2338	2008	Carriage	0
SRR6347336	2012_330	2012	Carriage	0
SRR6347337	PYO3422	2011	Pyomyositis	1
SRR6347338	COP2431	2008	Carriage	0
SRR6347339	COP2375	2008	Carriage	0
SRR6347340	PYO2789	2009	Pyomyositis	1
SRR6347341	2012_219	2012	Carriage	0
