sample_name	amikacin	amoxicillin	amoxicillin.clavulanic.acid	ampicillin	ampicillin.sulbactam	azithromycin	aztreonam	cefalexin	cefalotin	cefazolin	cefepime	cefotaxime	cefotaxime.clavulanic.acid	cefotetan	cefoxitin	cefpodoxime	ceftazidime	ceftriaxone	cefuroxime	cephalothin	chloramphenicol	ciprofloxacin	colistin	doripenem	doxycycline	ertapenem	fosfomycin	gentamicin	imipenem	kanamycin	levofloxacin	meropenem	minocycline	moxifloxacin	nalidixic.acid	nitrofurantoin	norfloxacin	ofloxacin	piperacillin	piperacillin.tazobactam	streptomycin	sulbactam	sulfamethoxazole	sulfamethoxazole.trimethoprim	tetracycline	ticarcillin.clavulanic.acid	tigecycline	tobramycin	trimethoprim	trimethoprim.sulfamethoxazole
ERR4034168	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	S
ERR4034233	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	S
ERR4034248	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	S
ERR4034242	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	I/R	NA	NA	NA	NA	I/R	NA	I/R	NA	NA	I/R	NA	NA	NA	NA	NA	I/R	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	I/R
ERR4034232	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	S
ERR4034277	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	I/R
ERR4034281	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	S
ERR4034291	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	S
ERR4034050	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	S
ERR4034288	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	S
ERR4034083	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	S
ERR4034065	NA	NA	NA	I/R	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	S	NA	S	NA	NA	S	NA	NA	NA	NA	NA	S	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	S	NA	NA	I/R
