sample_name	geo_loc_name	Host	isolate	LibrarySelection	LibrarySource	isolation_source	serotype	genotype	strain	majority_hosts
SRR24842879	USA: Pennsylvania	Gallus gallus	A/Chicken/Pennsylvania/22-012742-001/2022	RT-PCR	VIRAL RNA	Swab\, Tracheal	H5N1			Gallus gallus
SRR24842880	USA: Kansas	Gallus gallus	A/Backyard bird/Kansas/22-012741-003/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24842881	USA: New York	Haliaeetus leucocephalus	A/Bald Eagle/New York/22-012661-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842882	USA: New York	Haliaeetus leucocephalus	A/Bald Eagle/New York/22-012660-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842883	USA: Vermont	Branta canadensis	A/Canada Goose/Vermont/22-012250-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842884	USA: Pennsylvania	Gallus gallus	A/Chicken/Pennsylvania/22-012248-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Gallus gallus
SRR24842885	USA: Minnesota	Meleagris gallopavo	A/Turkey/Minnesota/22-012126-003/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24842886	USA: North Dakota	Anser rossii	A/Ross's Goose/North Dakota/22-010663-024/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842887	USA: Minnesota	Meleagris gallopavo	A/Turkey/Minnesota/22-012126-002/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24842888	USA: Minnesota	Meleagris gallopavo	A/Turkey/Minnesota/22-012125-003/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24842889	USA: Minnesota	Meleagris gallopavo	A/Turkey/Minnesota/22-012125-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24842890	USA: Minnesota	Meleagris gallopavo	A/Turkey/Minnesota/22-012123-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Meleagris gallopavo
SRR24842891	USA: Nebraska	Falco peregrinus	A/Peregrine Falcon/Nebraska/22-012111-001/2022	RT-PCR	VIRAL RNA	Swab\, Cloacal	H5N1			NA
SRR24842892	USA: North Dakota	Gallus gallus	A/Backyard bird/North Dakota/22-012100-001/2022	RT-PCR	VIRAL RNA	swab	H5N1			Gallus gallus
SRR24842893	USA: Idaho	Gallus gallus	A/Backyard bird/Idaho/22-012045-002/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24842894	USA: Idaho	Gallus gallus	A/Backyard bird/Idaho/22-012045-001/2022	RT-PCR	VIRAL RNA	Swab\, Oropharyngeal	H5N1			Gallus gallus
SRR24842895	USA: Iowa	Falco peregrinus	A/Peregrine Falcon/Iowa/22-012093-001/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842896	USA: North Dakota	Anser rossii	A/Ross's Goose/North Dakota/22-010663-023/2022	RT-PCR	VIRAL RNA	Swab Pool\, Cloacal/Oropharyngeal	H5N1			NA
SRR24842897	USA: Pennsylvania	Gallus gallus	A/Chicken/Pennsylvania/22-012092-008/2022	RT-PCR	VIRAL RNA	Swab\, Tracheal	H5N1			Gallus gallus
