sample_name	Year_of_sampling	Disease_onset_classification	Isolation_tissue	Capsular_serotype	Sequence_type_MLST	Clonal_complex_MLST	BAPS_clade_or_lineage	disease_onset_and_isolation_tissue
ERR1659728	2013	LOD	Blood	III	17	17	6	LOD_Blood
ERR1659684	2013	EOD	Blood	II	1	1	2	EOD_Blood
ERR1659729	2013	EOD	Blood	IV	196	1	2	EOD_Blood
ERR1659730	2013	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1659731	2013	EOD	Blood	Ia	144	23	4	EOD_Blood
ERR1659732	2013	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659733	2013	EOD	Blood	III	19	19	3	EOD_Blood
ERR1659735	2013	LOD	CSF	Ib	8	10	1	LOD_CSF
ERR1659736	2014	EOD	CSF	III	17	17	6	EOD_CSF
ERR1659737	2014	LOD	Blood	III	1573	17	6	LOD_Blood
ERR1659738	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659685	2013	LOD	CSF	III	27	19	3	LOD_CSF
ERR1659739	2014	LOD	CSF	III	17	17	6	LOD_CSF
ERR1659740	2014	LOD	Blood	III	1573	17	6	LOD_Blood
ERR1659741	2014	EOD	Blood	III	17	17	6	EOD_Blood
ERR1659742	2014	LOD	Blood	III	17	17	6	LOD_Blood
