sample_name	Year_of_sampling	Disease_onset_classification	Isolation_tissue	Capsular_serotype	Sequence_type_MLST	Clonal_complex_MLST	BAPS_clade_or_lineage	disease_onset_and_isolation_tissue
ERR1625197	1999	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625198	1999	LOD	CSF	III	148	17	6	LOD_CSF
ERR1625199	1999	EOD	Blood	III	1535	19	3	EOD_Blood
ERR1625200	1987	LOD	Blood	Ib	1580	10	1	LOD_Blood
ERR1625201	1987	LOD	Blood	III	27	19	3	LOD_Blood
ERR1625121	1998	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625202	1987	EOD	Blood	Ib	12	10	1	EOD_Blood
ERR1625205	1987	LOD	CSF	III	19	19	3	LOD_CSF
ERR1625206	1987	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625207	1999	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625208	1999	LOD	Blood	III	23	N/D	5	LOD_Blood
ERR1625209	1999	LOD	Blood	III	17	17	6	LOD_Blood
ERR1625210	1999	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625211	1999	EOD	CSF	III	19	19	3	EOD_CSF
ERR1625303	2001	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625312	2001	EOD	Blood	Ia	24	23	4	EOD_Blood
ERR1625402	2003	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625403	2003	LOD	CSF	III	17	17	6	LOD_CSF
ERR1625404	2003	EOD	CSF	Ia	23	23	4	EOD_CSF
ERR1625405	2003	LOD	CSF	Ib	10	10	1	LOD_CSF
ERR1625406	2003	LOD	Blood	Ib	10	10	1	LOD_Blood
ERR1625407	2003	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625408	2003	EOD	CSF	III	1537	17	6	EOD_CSF
ERR1625409	2003	EOD	Blood	V	7	10	1	EOD_Blood
ERR1625410	2003	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625411	2003	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625313	2001	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625412	2003	LOD	Blood	II	28	19	3	LOD_Blood
ERR1625414	2003	EOD	Blood	II	19	19	3	EOD_Blood
ERR1625415	2003	EOD	Blood	II	12	10	1	EOD_Blood
ERR1625416	2003	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625417	2003	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625418	2003	EOD	Blood	IX	130	130	5	EOD_Blood
ERR1625419	2003	EOD	Blood	III	19	19	3	EOD_Blood
ERR1625421	2003	EOD	Blood	Ia	23	23	4	EOD_Blood
ERR1625314	2001	EOD	Blood	II	28	19	3	EOD_Blood
ERR1625422	2003	EOD	Blood	III	148	17	6	EOD_Blood
ERR1625423	2003	EOD	CSF	III	1586	17	6	EOD_CSF
ERR1625424	2003	EOD	Blood	III	17	17	6	EOD_Blood
ERR1625425	2003	EOD	Blood	Ib	1570	10	1	EOD_Blood
