sample_name	assembly_fullid_updated	yhmpu50000	order	species	carbon_class	nitrogen_class	galactose_normalized	fructose_normalized	glycerol_normalized	maltose_normalized	at_25_c	c1_d.glucose	n4_l.lysine	c23_glycerol	n5_cadaverine	c28_d.glucitol	n3_ethylamine	at_30_c	c29_d.mannitol	ethanol__assimilation	d.glucose__fermentation	c39_succinate	c12_a_a.trehalose	c6_d.xylose	c32_d.glucono.1_5.lactone	c2_d.galactose	c10_sucrose	c14_cellobiose	c15_salicin	c11_maltose	c25_ribitol	c40_citrate	c26_xylitol	c35_d.gluconate	c16_arbutin	c3_l.sorbose	at_35_c	c20_melezitose	c13_me_a.d.glucoside	environment_edited	super_domain_entity	super_independent_entity	super_plant	super_embryophyta_plant_type	super_vascular_plant_type	super_seed_producing_plant_type	super_animal	super_angiosperm_plant_type	super_arthropoda_animal_type	super_hexapoda_animal_type	super_insecta_animal_type
SRR16974325	yHMPu5000035005_lodderomyces_elongisporus_160519.haplomerger2	35005	Serinales	Lodderomyces elongisporus	Standard	Standard	0.435431428127031	0.315799798031099	0.167524024700979	0.349101482597635	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	concentrated orange juice	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974357	yHMPu5000034659_debaryomyces_hansenii_180604	34659	Serinales	Debaryomyces hansenii	Generalist	Standard	0.724051566614842	0.67593800852725	0	0.718336386665392	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	deposited in the CBS Collection and had been received the Carlsberg Laboratory	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16974273	yHMPu5000034723_candida_glabrata_180604	34723	Saccharomycetales	Nakaseomyces glabratus	Specialist	Specialist	0	0	0	0	Yes	Yes	Yes	Yes	No	No	No	NA	No	Yes	Yes	No	Yes	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No	NA	No	No	faeces of Man	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16988846	yHMPu5000040963_lachancea_quebecuensis_200128	40963	Saccharomycetales	Lachancea quebecensis	Standard	Standard	0.796625481582616	0.250869254867141	0	0.496101424215727	Yes	NA	NA	Yes	NA	NA	NA	Yes	NA	Yes	NA	NA	Yes	Yes	NA	Yes	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	Yes	Yes	Yes	NA	maple tree bark	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16988934	yHMPu5000035666_nakaseomyces_bacillisporus_160613	35666	Saccharomycetales	Nakaseomyces bacillisporus	Standard	Standard	0	0.326155673685185	0.106777104702244	0	Yes	Yes	No	Yes	No	No	No	Yes	No	No	Yes	No	Yes	No	Yes	No	Yes	No	No	No	No	No	No	Yes	No	No	Yes	No	No	exudate of Quercus emoryi (Emory oak)	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16974372	yHMPu5000026127_nakaseomyces_delphensis_160519	26127	Saccharomycetales	Nakaseomyces delphensis	Specialist	Specialist	0	0.263738957421553	0	0	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	sugary deposit on dried figs	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974277	yHMPu5000034720_candida_nivariensis_180604	34720	Saccharomycetales	Nakaseomyces nivariensis	Specialist	Specialist	0	0.552170311638948	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blood culture of a 69-year-old Spanish woman presenting with biliary pancreatitis and renal failure	No	No	No	No	No	No	No	No	No	No	No
SRR16974271	yHMPu5000034725_candida_bracarensis_160928	34725	Saccharomycetales	Nakaseomyces bracarensis	Specialist	Specialist	0	0.234835368124193	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	case of vaginal candidiasis	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16974272	yHMPu5000034724_candida_castellii_180604	34724	Saccharomycetales	Nakaseomyces castellii	Specialist	Standard	0	19.7505619960968	6.77983264884043	0	Yes	Yes	Yes	Yes	No	No	No	Yes	No	Yes	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974707	yHMPu5000034863_zygosaccharomyces_rouxii_180604	34863	Saccharomycetales	Zygosaccharomyces rouxii	Specialist	Standard	0	0.618182024438007	0	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	No	Yes	No	No	No	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	No	No	NA	No	No	concentrated black-grape must	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974309	yHMPu5000034678_lachancea_thermotolerans_180604	34678	Saccharomycetales	Lachancea thermotolerans	Standard	Standard	0	0.116652027813306	0.0457538937822566	0.115040621926208	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	mirabelle-plum conserve	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974293	yHMPu5000034695_lachancea_fermentati_201018	34695	Saccharomycetales	Lachancea fermentati	Standard	Standard	0.253213283905534	0.163136298232109	0	0.569234758353323	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	sediment of peppermint	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974392	yHAB137_kazachstania_africana_160519	yHAB137	Saccharomycetales	Kazachstania africana	NA	NA	NA	NA	NA	NA	Yes	Yes	No	No	No	No	No	Yes	No	No	Yes	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974698	yHMPu5000034871_naumovozyma_castellii_180604	34871	Saccharomycetales	Naumovozyma castellii	Specialist	Specialist	0.650900223052413	0	0	0	Yes	Yes	No	No	No	No	No	NA	No	Yes	Yes	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	NA	No	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974697	yHMPu5000034872_naumovozyma_dairenensis_180604	34872	Saccharomycetales	Naumovozyma dairenensis	NA	NA	NA	NA	NA	NA	Yes	Yes	No	No	No	No	No	NA	No	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	NA	No	No	dry fruit of Diospyros sp. (persimmon)	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16974695	yHMPu5000034874_tetrapisispora_blattae_190924	34874	Saccharomycetales	Tetrapisispora blattae	NA	NA	NA	NA	NA	NA	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	Yes	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	No	gut of Blatta orientalis (cockroach)	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16974245	yHMPu5000034580_tetrapisispora_phaffii_180604	34580	Saccharomycetales	Tetrapisispora phaffii	Specialist	Specialist	0.743272636248059	0	0.315742560679619	0	Yes	Yes	No	Yes	No	No	No	Yes	No	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	Yes	No	No	Yes	No	No	uncultivated surface soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988980	yHMPu5000035653_torulaspora_delbrueckii_160613	35653	Saccharomycetales	Torulaspora delbrueckii	Specialist	Standard	0.835629492033672	0.372312744538528	0	0	Yes	Yes	Yes	Yes	No	Yes	No	NA	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	Yes	No	Yes	NA	No	No	uncertain origin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16974617	yHMPu5000035043_babjeviella_inositovora_180604	35043	Serinales	Babjeviella inositovora	Standard	Standard	0	0.771069220677538	0.950138335620843	0.894523185216082	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	high-moor peat	Yes	Yes	Yes	Yes	No	No	No	No	No	No	No
SRR16974405	yHMPu5000034976_dekkera_anomala_160519.haplomerger2	34976	Pichiales	Brettanomyces anomalus	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes	spoiled soft drink	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974407	yHMPu5000034975_dekkera_bruxellensis_160519.haplomerger2	34975	Pichiales	Brettanomyces bruxellensis	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	Yes	Yes	Yes	sediment in lambic beer	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974416	yHMPu5000034965_Brettanomyces_naardenensis_SPADES	34965	Pichiales	Brettanomyces naardenensis	Standard	Specialist	0.6182932302275	0.85202718364247	0	0	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	No	Yes	No	No	No	No	No	No	lemonade	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988951	yHMPu5000035336_cyberlindnera_jadinii_180604.haplomerger2	35336	Phaffomycetales	Cyberlindnera jadinii	Standard	Standard	0	0.36675541770709	0.208579533975543	0.243649566771691	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	pus abscess, on buttock of woman	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16988680	yHMPu5000037913_candida_cylindracea_180604.haplomerger2	37913	Serinales	Limtongozyma cylindracea	Standard	Standard	0.491814702432678	0.692980190274038	0.701793660460324	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974551	yHMPu5000035273_wickerhamomyces_anomalus_180604.haplomerger2	35273	Phaffomycetales	Wickerhamomyces anomalus	Standard	Generalist	0.0825084873579921	0.26001218861227	0.338482746573919	0.456402638899348	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	NA	Yes	Yes	uncertain origin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16988862	yHMPu5000035708_candida_flosculorum_160613.haplomerger2	35708	Phaffomycetales	Wickerhamomyces sp.	Standard	Specialist	0	0.285575357453928	0.217353591226022	0.170249609607841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	flower bract of Heliconia episcopalis (Heliconiaceae)	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16974516	yHMPu5000026219_lachancea_waltii_180604	26219	Saccharomycetales	Lachancea waltii	Standard	Standard	0	0.580937977179141	0	0	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	No	No	Yes	Yes	No	No	exudate of Ilex integra (holly)	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16988666	yHMPu5000037927_candida_apicola_180604	37927	Dipodascales	Starmerella apicola	Standard	Standard	NA	0	0.256058234547171	NA	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	No	No	No	No	Yes	No	Yes	No	Yes	Yes	No	No	gut of bee	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16974238	yHMPu5000034586_candida_geochares_180604	34586	Dipodascales	Starmerella geochares	Standard	Standard	0.0922590085465985	0.40324030409903	0.378574931529747	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	soil of grassland	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974237	yHMPu5000034587_candida_gropengiesseri_180604	34587	Dipodascales	Starmerella gropengiesseri	Standard	Standard	0.58246632818989	0.611056146978776	0.637537343745001	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	No	cocoon of Periplaneta orientalis (cockroach)	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16974735	yHMPu5000034588_candida_kuoi_180604	34588	Dipodascales	Starmerella kuoi	Standard	Standard	0	0.621327540856001	0.287462608973516	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No	Yes	Yes	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	No	No	concentrated grape juice	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988710	yHMPu5000037883_candida_sorbosivorans_180604	37883	Dipodascales	Starmerella sorbosivorans	Standard	Generalist	0	0	0.322008304658746	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No	Sorbitol-to-sorbose continuous fermentation cascade	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988698	yHMPu5000037894_candida_hasegawae_180604	37894	Dipodascales	Wickerhamiella hasegawae	Standard	Standard	0	0.612664611000655	0.39196218886697	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Insect frass	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16974546	yHMPu5000035277_candida_pararugosa_201018	35277	Dipodascales	Wickerhamiella pararugosa	Standard	Standard	1.72410291422307	12.7394114156736	1.58105108882231	0	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No	No	faeces of Man	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16974530	yHMPu5000026142_citeromyces_matritensis_160519.haplomerger2	26142	Pichiales	Citeromyces matritensis	Standard	Standard	0	0.550596284527622	0.255637993936358	0.209118981943193	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	No	No	No	Yes	No	No	Yes	No	No	No	Yes	No	No	No	No	No	fermenting fruit in syrup	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974632	yHMPu5000034607_saccharomycopsis_capsularis_180604	34607	Ascoideales	Saccharomycopsis capsularis	NA	NA	NA	NA	NA	NA	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	substrate unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16988848	yHMPu5000040959_metschnikowia_aberdeeniae_201018	40959	Serinales	Metschnikowia aberdeeniae	Standard	Standard	0.399755738214858	0.832701627872775	0.164660803731857	0.562974667713324	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	No	Yes	No	insects of morning glories	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988851	yHMPu5000040956_metschnikowia_borealis_201018	40956	Serinales	Metschnikowia borealis	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Conotelus sp. (beetle) in Convolvulus arvensis	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988852	yHMPu5000040955_metschnikowia_bowlesiae_201018	40955	Serinales	Metschnikowia bowlesiae	Specialist	Standard	0	0	0	0	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	NA	Yes	No	Yes	No	Conotelus mexicanus (Coleoptera: Nitidulidae) Ipomoea indica flower C. mexicanus in I. indica	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988853	yHMPu5000040954_metschnikowia_cerradonensis_201018	40954	Serinales	Metschnikowia cerradonensis	Generalist	Standard	0.478112536340747	0.778590230961558	0.417103570944622	0.405908982175362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nitudulid beetle (Conotelus sp., Coleoptera, Nitidulidae) foundinflowers ofmorningglory(Ipomoeacarnea,Convolvulaceae) or the flowers themselves,	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988890	yHMPu5000040943_metschnikowia_continentalis_201018	40943	Serinales	Metschnikowia continentalis	Standard	Standard	0.429624715027852	0	0.218553435243999	0.399309832549561	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	flower of Ipomoea fistulosa (morning glory)	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16988888	yHMPu5000040945_metschnikowia_dekortorum_201018	40945	Serinales	Metschnikowia dekortorum	Standard	Specialist	0.625276047402404	0	0	0.311327041829864	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	NA	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Conotelus sp. (Coleoptera; Nitidulidae) on Ipomoea indica	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988858	yHMPu5000040948_metschnikowia_hamakuensis_201018	40948	Serinales	Metschnikowia hamakuensis	Standard	Standard	0.207330032139265	2.41072346747194	0	0.338538736668047	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	No	Yes	No	female insect (Prosopeus cf. bidens) on Brussaisia arguta	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988856	yHMPu5000040950_metschnikowia_hibisci_200128	40950	Serinales	Metschnikowia hibisci	Standard	Standard	0.485614098012103	0.854042379726057	0.420985339380483	0.231553140105543	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Drosophila hibisci on Hibiscus heterophyllus	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988855	yHMPu5000040951_metschnikowia_ipomoeae_201018	40951	Serinales	Candida ipomoeae	NA	NA	NA	NA	NA	NA	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	drosophilid fly Exalloscaptomyza calliginosa, on flower of Ipomoea acuminata	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988854	yHMPu5000040953_metschnikowia_kipukae_201018	40953	Serinales	Metschnikowia kipukae	Standard	Standard	0	0.794413091874586	0.0721940569678124	0.421820431506803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nitidulid beetle (Prosopeus subaeneus, Coleoptera: Nitidulidae)	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988892	yHMPu5000040941_metschnikowia_lochheadii_201018	40941	Serinales	Metschnikowia lochheadii	Standard	Specialist	0.566856260487325	1.07286958690028	0	0.422255773529785	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	NA	NA	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Conotelus mexicanus collected on Tabebuia rosea	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988955	yHMPu5000040795_metschnikowia_matae_201018	40795	Serinales	Metschnikowia matae var. maris	Standard	Standard	0.749989868615618	1.1625625452883	0.283216487771636	0.795609773978259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unidentified flower in Serra do Mar State Park, São Paulo, Brazil	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No
SRR16988893	yHMPu5000040940_metschnikowia_matae_201018	40940	Serinales	Metschnikowia matae var. matae	Standard	Standard	1.38979318168304	1.37776600657537	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	flower of Ipomoea sp.	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16988894	yHMPu5000040937_metschnikowia_proteae_201018	40937	Serinales	Metschnikowia proteae	Standard	Specialist	0.555975665043561	0.802769083520002	0.395972535208447	0.567638892050092	Yes	Yes	Yes	NA	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	NA	Yes	No	Trichostetha fascicularis (Coleoptera: Scarabaeidae: Cetoniini)	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988895	yHMPu5000040935_metschnikowia_shivogae_201018	40935	Serinales	Metschnikowia shivogae	Standard	Standard	0.303542478804468	0.50829662582295	0	0.319781790212722	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	NA	Yes	No	Yes	No	insects of morning glories	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16974440	yHMPu5000034937_kuraishia_capsulata_160519	34937	Pichiales	Kuraishia capsulata	Standard	Standard	0	0.658139321950266	0.416490681745342	0.484106142973315	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	No	NA	Yes	Yes	No	Yes	Yes	No	insect frass on conifer	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988671	yHMPu5000037922_ascoidea_rubescens_170210	37922	Ascoideales	Ascoidea rubescens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no data	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16974452	yHMPu5000034925_candida_arabinofermentans_160519	34925	Pichiales	Candida arabinofermentans	Standard	Standard	0	0.410305941234981	0.357206333132454	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	No	Yes	No	Yes	No	Yes	No	No	insect frass dead Larix sp. (larch tree)	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16974728	yHMPu5000034743_lipomyces_starkeyi_190924	34743	Lipomycetales	Lipomyces starkeyi	Standard	Standard	0.776305067259251	0.889017285677794	0.508197698240475	0.94546456386798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16974731	yHMPu5000034592_metschnikowia_bicuspidata_var_bicuspidata_180604	34592	Serinales	Metschnikowia bicuspidata var. bicuspidata	Standard	Standard	0.711487095840006	0.663490431289807	0	0.431913347750135	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	No	No	No	sporocysts of Diplostomum flexicaudum (trematode), in digestive gland of snail	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16988931	yHMPu5000035669_pachysolen_tannophilus_160613	35669	Alaninales	Pachysolen tannophilus	Standard	Standard	0.405039687820903	0.401913958625294	0.325742884744366	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	No	No	concentrated tanning fluid	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988940	yHMPu5000035661_pichia_membranifaciens_160519	35661	Pichiales	Pichia membranifaciens	Specialist	Standard	0	0.426974569013543	0.240297454128574	0	Yes	Yes	Yes	Yes	Yes	No	Yes	NA	No	No	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	NA	No	No	elm exudate	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16974319	yHMPu5000035010_candida_tanzawaensis_190924	35010	Serinales	Suhomyces tanzawaensis	Standard	Standard	0.233947625460504	0.506487171940687	0	1.01675648339641	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Polytrichum commune (moss)	Yes	Yes	Yes	Yes	No	No	No	No	No	No	No
