sample_name	assembly_fullid_updated	yhmpu50000	order	species	carbon_class	nitrogen_class	galactose_normalized	fructose_normalized	glycerol_normalized	maltose_normalized	at_25_c	c1_d.glucose	n4_l.lysine	c23_glycerol	n5_cadaverine	c28_d.glucitol	n3_ethylamine	at_30_c	c29_d.mannitol	ethanol__assimilation	d.glucose__fermentation	c39_succinate	c12_a_a.trehalose	c6_d.xylose	c32_d.glucono.1_5.lactone	c2_d.galactose	c10_sucrose	c14_cellobiose	c15_salicin	c11_maltose	c25_ribitol	c40_citrate	c26_xylitol	c35_d.gluconate	c16_arbutin	c3_l.sorbose	at_35_c	c20_melezitose	c13_me_a.d.glucoside	environment_edited	super_domain_entity	super_independent_entity	super_plant	super_embryophyta_plant_type	super_vascular_plant_type	super_seed_producing_plant_type	super_animal	super_angiosperm_plant_type	super_arthropoda_animal_type	super_hexapoda_animal_type	super_insecta_animal_type
SRR16989113	yHMPu5000035633_candida_hispaniensis_180604	35633	Dipodascales	Candida hispaniensis	Specialist	Standard	0	0.387992150334649	0.900291975639706	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	larva of longhorn beetle (Spondylus buprestoides) collected in a conifer forest	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16989137	yHMPu5000038121_candida_hungchunana_170912	38121	Phaffomycetales	Candida hungchunana	Standard	Standard	0	0.800032814105017	0.63836303892268	0	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	No	Yes	No	Yes	Yes	Yes	leaf of Barringtonia asiatica	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
SRR16989006	yHMPu5000038388_candida_inconspicua_170713	38388	Pichiales	Candida inconspicua	Standard	Standard	0	0.981307117298522	0.385854268242225	0	Yes	Yes	Yes	Yes	Yes	No	Yes	NA	No	Yes	No	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	NA	No	No	sputum	Yes	Yes	No	No	No	No	Yes	No	No	No	No
SRR16989023	yHMPu5000035332_candida_insectalens_201018	35332	Pichiales	Candida insectalens	Standard	Standard	0.951045288001926	0.587920775275184	0	0	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	No	No	tunnel of Platypus externedentatus, in Ficus sycomorus	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16974605	yHMPu5000035246_candida_insectorum_160928	35246	Serinales	Candida insectorum	Generalist	Standard	0.73174379675613	0.842524785505633	0.568269354530198	0.588551501760171	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	frass of Phorocantha recurva, in Eucalyptus maculata	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16989007	yHMPu5000038387_candida_inulinophila_170713	38387	Serinales	Candida inulinophila	Standard	Standard	0.494407149160722	0.390661910027801	0.369684997011018	0.385916397256601	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Fruit body of an unidentified wild mushroom	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16988697	yHMPu5000037895_candida_jaroonii_180604	37895	Serinales	Candida jaroonii	Standard	Standard	0.702613442463234	0.542832479875997	0.287015651323754	0.305027093513696	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	NA	Yes	NA	Yes	Yes	Insect frass	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16989008	yHMPu5000038386_candida_jianshihensis_170713.haplomerger2	38386	Phaffomycetales	Candida jianshihensis	Standard	Generalist	0	0.653608469836157	1.61957571657375	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	Yes	No	No	No	No	soil	Yes	Yes	No	No	No	No	No	No	No	No	No
SRR16989019	yHMPu5000038374_candida_jiufengensis_170713	38374	Serinales	Candida jiufengensis	Standard	Standard	0	0.763852170369506	0	0.517018289266543	Yes	NA	Yes	Yes	Yes	Yes	Yes	NA	Yes	Yes	Yes	Yes	Yes	No	NA	Yes	Yes	No	No	Yes	Yes	Yes	NA	NA	NA	Yes	NA	Yes	Yes	gut of Oxycetonia jucunda	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes
SRR16988696	yHMPu5000037896_candida_kanchanaburiensis_180604	37896	Serinales	Candida kanchanaburiensis	Standard	Standard	0.632831004049613	0.747890972503111	0.34206456899707	0.294572727854744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Fruit body of mushroom Coprinus sp.	Yes	Yes	No	No	No	No	No	No	No	No	No
