sample_name	assembly	species	X_FC_resistance	Fluconazole_resistance	Itraconazole_resistance	Voriconazole_resistance	Posaconazole_resistance	Terbinafin_resistance	Caspofungi_resistance	Amphotericin_B_resistance	Total Drug Res	Order	Dipodascales_Fluconazole_resistance	Phaffomycetales_Fluconazole_resistance	Pichiales_Fluconazole_resistance	Saccharomycetales_Fluconazole_resistance	Serinales_Fluconazole_resistance
SRR16989078	yHMPu5000038345_cyberlindnera_veronae_170713	Cyberlindnera_veronae_CBS6591	NR	NR	NR	NR	NR	NR	NR	NR	0	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16989051	yHMPu5000041841_debaryomyces_coudertii_170713	Debaryomyces_coudertii_CBS5167	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989090	yHMPu5000041825_debaryomyces_robertsiae_170307	Debaryomyces_robertsiae_CBS2934	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989079	yHMPu5000038344_debaryomyces_singareniensis_170713	Debaryomyces_singareniensis_CBS10405	NR	R	NR	R	NR	NR	NR	NR	2	Serinales	NA	NA	NA	NA	Serinales_R
SRR16988719	yHMPu5000037873_debaryomyces_udenii_180604	Debaryomyces_udenii_CBS7056	NR	R	NR	R	NR	NR	NR	NR	2	Serinales	NA	NA	NA	NA	Serinales_R
SRR16989195	yHMPu5000035323_diddensiella_santjacobensis_190924	Diddensiella_santjacobensis_CBS8183	NR	R	NR	NR	NR	NR	NR	R	2	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16988678	yHMPu5000037915_candida_catenulata_190924	Diutina_catenulata_CBS565	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974385	yHMPu5000026054_candida_pseudorugosa_170713	Diutina_pseudorugosa__CBS10433	NR	R	NR	NR	NR	R	NR	NR	2	Serinales	NA	NA	NA	NA	Serinales_R
SRR16988705	yHMPu5000037887_candida_rugosa_170713	Diutina_rugosa__CBS613	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989217	yHMPu5000035320_candida_auringiensis_190924	Groenewaldozyma_auringiensis_CBS6913	NR	R	NR	R	NR	NR	R	NR	3	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16989228	yHMPu5000035319_Candida_tartarivorans_S177_SPADES	Candida_tartarivorans_CBS7955	NR	R	R	R	R	NR	R	NR	5	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16974353	yHMPu5000034663_kloeckera_lindneri_170307	Hanseniaspora_lindneri_CBS285	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycodales	NA	NA	NA	NA	NA
SRR16974423	yHMPu5000034958_hanseniaspora_opuntiae_201018.haplomerger2	Hanseniaspora_opuntiae_CBS8733	NR	R	NR	NR	NR	NR	NR	R	2	Saccharomycodales	NA	NA	NA	NA	NA
SRR16988876	yHMPu5000035695_hanseniaspora_pseudoguilliermondii_160519.haplomerger2	Hanseniaspora_pseudoguilliermondii_CBS8772	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycodales	NA	NA	NA	NA	NA
SRR16974425	yHMPu5000034956_hanseniaspora_uvarum_170307	Hanseniaspora_uvarum_CBS314	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycodales	NA	NA	NA	NA	NA
SRR16974426	yHMPu5000034955_hanseniaspora_valbyensis_201018.haplomerger2	Hanseniaspora_valbyensis_CBS479	NR	NR	R	NR	NR	NR	NR	NR	1	Saccharomycodales	NA	NA	NA	NA	NA
SRR16988912	yHMPu5000040918_candida_insectamans_201018	Hemisphaericaspora_insectamans_CBS6033	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988662	yHMPu5000035317_candida_fennica_180604	Hyphopichia_fennica_CBS5928	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989018	yHMPu5000038375_candida_khmerensis_170713	Hyphopichia_khmerensis_CBS9784	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
