sample_name	assembly	species	X_FC_resistance	Fluconazole_resistance	Itraconazole_resistance	Voriconazole_resistance	Posaconazole_resistance	Terbinafin_resistance	Caspofungi_resistance	Amphotericin_B_resistance	Total Drug Res	Order	Dipodascales_Fluconazole_resistance	Phaffomycetales_Fluconazole_resistance	Pichiales_Fluconazole_resistance	Saccharomycetales_Fluconazole_resistance	Serinales_Fluconazole_resistance
SRR16974447	yHMPu5000034930_nakazawaea_ernobii_170307.haplomerger2	Nakazawaea_ernobii_CBS1737	NR	NR	NR	NR	NR	NR	NR	NR	0	Alaninales	NA	NA	NA	NA	NA
SRR16974458	yHMPu5000034919_nakazawaea_ishiwadae_160519	Nakazawaea_ishiwadae_CBS6022	NR	NR	NR	NR	NR	NR	NR	NR	0	Alaninales	NA	NA	NA	NA	NA
SRR16974455	yHMPu5000034922_nakazawaea_pomicola_160519	Nakazawaea_pomicola_CBS4242	NR	R	NR	NR	NR	NR	NR	NR	1	Alaninales	NA	NA	NA	NA	NA
SRR16988932	yHMPu5000035668_nakazawaea_populi_160613	Nakazawaea_populi_CBS7351	NR	NR	NR	NR	NR	NR	NR	NR	0	Alaninales	NA	NA	NA	NA	NA
SRR16974454	yHMPu5000034923_nakazawaea_wickerhamii_160519	Nakazawaea_wickerhamii_CBS2928	NR	R	NR	R	NR	NR	NR	NR	2	Alaninales	NA	NA	NA	NA	NA
SRR16974453	yHMPu5000034924_nakazawaea_wyomingensis_160519	Nakazawaea_wyomingensis_CBS8703	NR	NR	NR	NR	NR	NR	NR	NR	0	Alaninales	NA	NA	NA	NA	NA
SRR16974675	yHMPu5000034895_ogataea_angusta_160519	Ogataea_angusta_CBS7073	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16989117	yHMPu5000038333_ogataea_chonburiensis_170713	Ogataea_chonburiensis_CBS10363	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16974674	yHMPu5000034896_ogataea_dorogensis_160519	Ogataea_dorogensis_CBS9260	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16974571	yHMPu5000034639_candida_cariosilignicola_160519	Ogataea_methylovora_CBS8001	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16989143	yHMPu5000041802_ogataea_polymorpha_180604	Ogataea_polymorpha_CBS4732	NR	R	NR	NR	NR	NR	NR	NR	1	Pichiales	NA	NA	Pichiales_R	NA	NA
SRR16974682	yHMPu5000034889_Ogataea_salicorniae_SPADES	Ogataea_salicorniae_CBS8071	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16989145	yHMPu5000041800_ogataea_thermomethanolica_180604	Ogataea_thermomethanolica_CBS10098	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16974572	yHMPu5000034638_ogataea_wickerhamii_180604	Ogataea_wickerhamii_CBS4307	NR	R	R	R	R	NR	R	R	6	Pichiales	NA	NA	Pichiales_R	NA	NA
SRR16989114	yHMPu5000038335_pichia_cactophila_170713.haplomerger2	Pichia_cactophila_CBS6926	NR	R	NR	NR	NR	NR	NR	NR	1	Pichiales	NA	NA	Pichiales_R	NA	NA
SRR16974570	yHMPu5000034640_pichia_deserticola_170307	Pichia_deserticola_CBS7119	NR	R	NR	R	NR	NR	NR	R	3	Pichiales	NA	NA	Pichiales_R	NA	NA
SRR16974583	yHMPu5000034628_pichia_fermentans_160519.haplomerger2	Pichia_fermentans_CBS187	NR	R	NR	NR	NR	NR	NR	NR	1	Pichiales	NA	NA	Pichiales_R	NA	NA
SRR16974586	yHMPu5000034626_pichia_kluyveri_170307.haplomerger2	Pichia_kluyveri_CBS188	NR	R	NR	R	R	NR	NR	NR	3	Pichiales	NA	NA	Pichiales_R	NA	NA
SRR16974517	yHMPu5000026208_pichia_pseudocactophila_170307.haplomerger2	Pichia_pseudocactophila_CBS6929	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16988728	yHMPu5000035309_pichia_scutulata_180604.haplomerger2	Pichia_scutulata_CBS6670	NR	R	NR	NR	NR	NR	NR	NR	1	Pichiales	NA	NA	Pichiales_R	NA	NA
SRR16988706	yHMPu5000035313_pichia_sporocuriosa_170307.haplomerger2	Pichia_sporocuriosa_CBS8806	R	R	NR	NR	NR	NR	NR	NR	2	Pichiales	NA	NA	Pichiales_R	NA	NA
SRR16988938	yHMPu5000035295_priceomyces_melissophilus_201018	Priceomyces_melissophilus_CBS6344	R	NR	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974257	yHMPu5000026282_saccharomycodes_ludwigii_190924	Saccharomycodes_ludwigii_CBS821	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycodales	NA	NA	NA	NA	NA
SRR16989146	yHMPu5000041799_saccharomycopsis_amapae_201018	Saccharomycopsis_amapae_CBS7872	NR	R	NR	NR	NR	R	NR	NR	2	Ascoideales	NA	NA	NA	NA	NA
SRR16988744	yHMPu5000037848_saccharomycopsis_babjevae_170912	Saccharomycopsis_babjevae_CBS9167	NR	NR	NR	NR	NR	NR	NR	NR	0	Ascoideales	NA	NA	NA	NA	NA
SRR16988844	yHMPu5000041691_saccharomycopsis_crataegensis_180604	Saccharomycopsis_crataegensis_CBS6447	R	R	NR	R	NR	R	NR	R	5	Ascoideales	NA	NA	NA	NA	NA
SRR16989147	yHMPu5000041797_saccharomycopsis_fermentans_201018	Saccharomycopsis_fermentans_CBS7830	NR	R	NR	R	NR	R	NR	NR	3	Ascoideales	NA	NA	NA	NA	NA
SRR16988836	yHMPu5000041733_saccharomycopsis_javanensis_170912	Saccharomycopsis_javanensis_CBS2555	NR	NR	NR	NR	NR	NR	NR	NR	0	Ascoideales	NA	NA	NA	NA	NA
SRR16989149	yHMPu5000041794_saccharomycopsis_lassenensis_201018	Saccharomycopsis_lassenensis_CBS8524	NR	NR	NR	NR	NR	NR	NR	NR	0	Ascoideales	NA	NA	NA	NA	NA
SRR16988840	yHMPu5000041719_saccharomycopsis_microspora_170912	Saccharomycopsis_microspora_CBS6393	NR	NR	NR	NR	NR	NR	R	NR	1	Ascoideales	NA	NA	NA	NA	NA
SRR16989159	yHMPu5000041783_saccharomycopsis_schoenii_170912	Saccharomycopsis_schoenii_CBS7223	NR	NR	NR	NR	NR	NR	NR	NR	0	Ascoideales	NA	NA	NA	NA	NA
SRR16989158	yHMPu5000041784_saccharomycopsis_selenospora_170912	Saccharomycopsis_selenospora_CBS2562	NR	NR	NR	NR	NR	NR	NR	NR	0	Ascoideales	NA	NA	NA	NA	NA
SRR16988742	yHMPu5000037851_saturnispora_ahearnii_170912	Saturnispora_ahearnii_CBS6121	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16988992	yHMPu5000035293_saturnispora_diversa_170307	Saturnispora_diversa_CBS4074	NR	R	NR	R	NR	R	NR	NR	3	Pichiales	NA	NA	Pichiales_R	NA	NA
SRR16989156	yHMPu5000041788_scheffersomyces_coipomoensis_180604	Scheffersomyces_coipomensis_CBS8178	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989155	yHMPu5000041789_scheffersomyces_ergatensis_180604	Scheffersomyces_ergatensis_CBS6248	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988738	yHMPu5000037854_scheffersomyces_insectosa_170912	Scheffersomyces_insectosa_CBS4286	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988736	yHMPu5000037857_scheffersomyces_spartiniae_170210	Scheffersomyces_spartinae_CBS6059	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989151	yHMPu5000041792_schwanniomyces_capriottii_170912	Schwanniomyces_capriottii_CBS2923	NR	R	NR	R	NR	NR	NR	NR	2	Serinales	NA	NA	NA	NA	Serinales_R
SRR16989150	yHMPu5000041793_schwanniomyces_etchellsii_180604	Schwanniomyces_etchellsii_CBS2011	NR	NR	NR	NR	NR	NR	NR	R	1	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974244	yHMPu5000034581_schwanniomyces_occidentalis_var_occidentalis_170713	Schwanniomyces_occidentalis_var._occidentalis_CBS819	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989160	yHMPu5000041781_schwanniomyces_occidentalis_var_persoonii_190924	Schwanniomyces_occidentalis_var._persoonii_CBS2169	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989127	yHMPu5000038322_schwanniomyces_polymorphus_var_africanus_170713	Schwanniomyces_polymorphus_var._africanus_CBS6741	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989161	yHMPu5000041780_Schwanniomyces_polymorphus_var_polymorphus_SPADES	Schwanniomyces_polymorphus_var_polymorphus_CBS186	NR	R	R	R	NR	NR	NR	NR	3	Serinales	NA	NA	NA	NA	Serinales_R
SRR16989162	yHMPu5000041779_schwanniomyces_pseudopolymorphus_190924	Schwanniomyces_pseudopolymorphus_CBS2008	NR	R	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_R
SRR16988747	yHMPu5000037844_schwanniomyces_vanrijiae_var_vanrijiae_180604	Schwanniomyces_vanrijiae_var._vanrijiae_CBS3024	NR	R	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_R
SRR16989164	yHMPu5000041778_schwanniomyces_vanrijiae_var_yarrowii_170912	Schwanniomyces_vanrijiae_var._yarrowii_CBS6246	NR	R	NR	R	NR	NR	NR	NR	2	Serinales	NA	NA	NA	NA	Serinales_R
SRR16988748	yHMPu5000037843_schwanniomyces_yamadae_170912	Schwanniomyces_yamadae_CBS7035	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988838	yHMPu5000035292_sporopachydermia_cereana_201018.haplomerger2	Sporopachydermia_cereana_CBS6644	NR	NR	NR	NR	R	NR	R	NR	2	Sporopachydermiales	NA	NA	NA	NA	NA
SRR16974637	yHMPu5000034603_sporopachydermia_quercuum_190924	Sporopachydermia_quercuum_CBS8070	NR	NR	NR	NR	NR	NR	NR	NR	0	Sporopachydermiales	NA	NA	NA	NA	NA
SRR16988749	yHMPu5000037842_starmera_caribaea_210210	Starmera_caribaea_CBS7692	NR	NR	NR	NR	NR	NR	NR	NR	0	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16974639	yHMPu5000034601_starmera_dryadoides_180604	Starmera_dryadoides_CBS6154	NR	R	NR	NR	NR	NR	NR	NR	1	Phaffomycetales	NA	Phaffomycetales_R	NA	NA	NA
SRR16974638	yHMPu5000034602_starmera_pachycereana_170307	Starmera_pachycereana_CBS6943	R	NR	NR	NR	NR	NR	R	NR	2	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16974645	yHMPu5000034595_candida_apis_180604	Starmerella_apis_CBS2674	R	NR	NR	NR	NR	NR	NR	NR	1	Dipodascales	Dipodascales_NR	NA	NA	NA	NA
SRR16988821	yHMPu5000036545_candida_zemplinina_180604	Starmerella_bacillaris_CBS9494	NR	R	R	R	R	R	R	NR	6	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16974256	yHMPu5000026296_candida_bombi_180604	Starmerella_bombi_CBS5836	NR	NR	NR	NR	NR	NR	NR	NR	0	Dipodascales	Dipodascales_NR	NA	NA	NA	NA
SRR16974242	yHMPu5000034583_candida_etchellsii_180604	Starmerella_etchellsii_CBS1750	NR	NR	NR	NR	NR	NR	NR	NR	0	Dipodascales	Dipodascales_NR	NA	NA	NA	NA
SRR16974241	yHMPu5000034584_candida_floricola_180604	Starmerella_floricola_CBS7289	NR	NR	NR	NR	NR	NR	R	R	2	Dipodascales	Dipodascales_NR	NA	NA	NA	NA
SRR16988909	yHMPu5000040920_candida_lactis-condensi_201018	Starmerella_lactis-condensi_CBS52	NR	R	R	R	NR	R	NR	NR	4	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16974733	yHMPu5000034590_candida_magnoliae_180604	Starmerella_magnoliae_CBS166	NR	R	NR	R	NR	NR	NR	NR	2	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16988905	yHMPu5000040924_candida_powellii_201018	Starmerella_powellii_CBS8795	NR	NR	NR	NR	NR	NR	R	NR	1	Dipodascales	Dipodascales_NR	NA	NA	NA	NA
SRR16989168	yHMPu5000041773_sugiyamaella_castrensis_190924	Sugiyamaella_castrensis_CBS8172	NR	NR	NR	NR	NR	NR	NR	NR	0	Dipodascales	Dipodascales_NR	NA	NA	NA	NA
SRR16989169	yHMPu5000041772_sugiyamaella_chiloensis_170912	Sugiyamaella_chiloensis_CBS8169	NR	R	NR	NR	NR	NR	NR	NR	1	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16988834	yHMPu5000041770_sugiyamaella_novakii_190924	Sugiyamaella_novakii_CBS8402	NR	R	NR	R	NR	NR	NR	NR	2	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16974250	yHMPu5000034575_sugiyamaella_paludigena_180604	Sugiyamaella_paludigena_CBS8005	NR	R	NR	NR	NR	NR	NR	NR	1	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16974252	yHMPu5000034574_sugiyamaella_smithiae_180604	Sugiyamaella_smithiae_CBS7522.2	NR	R	NR	R	NR	NR	NR	NR	2	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16974253	yHMPu5000034573_sugiyamaella_valdiviana_180604	Sugiyamaella_valdiviana_CBS5721	NR	R	NR	R	NR	NR	NR	NR	2	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16974660	yHMPu5000035027_candida_ambrosiae_160519	Suhomyces_ambrosiae_CBS8844	NR	R	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974661	yHMPu5000035026_Candida_anneliseae_SPADES	Candida_anneliseae_CBS9837	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974315	yHMPu5000035014_candida_atakaporum_190924	Suhomyces_atakaporum_CBS9833	NR	R	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974673	yHMPu5000035015_candida_bokatorum_160519	Suhomyces_bokatorum_CBS9824	NR	R	R	R	NR	NR	NR	NR	3	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974672	yHMPu5000035016_candida_bolitotheri_160519	Suhomyces_bolitotheri_CBS9832	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974671	yHMPu5000035017_candida_bribrorum_160519	Suhomyces_bribrorum_CBS9835	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974667	yHMPu5000035020_Candida_chickasaworum_SPADES	Candida_chickasaworum_CBS9830	NR	R	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974666	yHMPu5000035021_candida_choctaworum_160519	Suhomyces_choctaworum_CBS9831	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974664	yHMPu5000035023_candida_guaymorum_160519	Suhomyces_guaymorum_CBS9823	NR	R	NR	R	NR	NR	NR	NR	2	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974663	yHMPu5000035024_Candida_kunorum_SPADES	Candida_kunorum_CBS9825	NR	R	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974662	yHMPu5000035025_candida_maxii_160519	Suhomyces_maxii_CBS9836	NR	R	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974316	yHMPu5000035013_candida_panamericana_160519	Suhomyces_panamericanus_CBS9834	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974317	yHMPu5000035012_candida_prunicola_160519	Suhomyces_prunicola_CBS8848	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988669	yHMPu5000037924_candida_taliae_201018	Suhomyces_taliae_CBS9838	NR	R	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974320	yHMPu5000035009_candida_terraborum_160519	Suhomyces_terraborum_CBS9826	NR	R	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974323	yHMPu5000035007_candida_wounanorum_170307	Suhomyces_wounanorum_CBS9828	NR	R	R	NR	NR	R	NR	NR	3	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974324	yHMPu5000035006_candida_xylopsoci_160519	Suhomyces_xylopsoci_CBS6037	R	R	NR	R	NR	NR	NR	R	4	Serinales	NA	NA	NA	NA	Serinales_R
SRR16989237	yHMPu5000038041_suhomyces_yuchorum_170912	Suhomyces_yuchorum_CBS9829	NR	R	NR	NR	NR	NR	NR	NR	1	Serinales	NA	NA	NA	NA	Serinales_R
SRR16974696	yHMPu5000034873_tetrapisipora_arboricola_ABYSS	Tetrapisipora_arboricola_CBS8765	NR	R	NR	R	R	R	NR	R	5	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974691	yHMPu5000034878_tetrapisispora_nanseiensis_160519	Tetrapisispora_nanseiensis_CBS8763	NR	NR	NR	NR	NR	NR	R	NR	1	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974254	yHMPu5000034572_tortispora_caseinolytica_180604	Tortispora_caseinolytica_CBS7781	NR	NR	NR	NR	NR	NR	NR	NR	0	Trigonopsidales	NA	NA	NA	NA	NA
SRR16974689	yHMPu5000034880_torulaspora_globosa_160519	Torulaspora_globosa_CBS764	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974526	yHMPu5000026150_trichomonascus_petasosporus_180604	Trichomonascus_petasosporus_CBS9602	NR	R	NR	R	NR	R	R	R	5	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16974542	yHMPu5000035281_trigonopsis_cantarellii_170307	Trigonopsis_cantarellii_CBS4878	R	NR	NR	NR	NR	NR	NR	NR	1	Trigonopsidales	NA	NA	NA	NA	NA
SRR16974703	yHMPu5000034868_Vanderwaltozyma_yarrowii_S33_SPADES	Vanderwaltozyma_yarrowii_CBS8242	NR	R	R	R	R	R	NR	NR	5	Saccharomycetales	NA	NA	NA	Saccharomycetales_R	NA
SRR16974734	yHMPu5000034589_wickerhamiella_australiensis_180604	Wickerhamiella_australiensis_CBS8456	NR	NR	NR	NR	NR	NR	R	NR	1	Dipodascales	Dipodascales_NR	NA	NA	NA	NA
SRR16988944	yHMPu5000035287_candida_bombiphila_160928	Wickerhamiella_bombiphila_CBS9712	NR	NR	NR	NR	NR	NR	R	R	2	Dipodascales	Dipodascales_NR	NA	NA	NA	NA
SRR16974540	yHMPu5000035283_wickerhamiella_lipophila_170713	Wickerhamiella_lipophila_CBS8458	NR	NR	NR	NR	NR	NR	NR	NR	0	Dipodascales	Dipodascales_NR	NA	NA	NA	NA
SRR16989187	yHMPu5000038096_candida_sorbophila_170912	Wickerhamiella_sorbophila_CBS6739	NR	R	NR	R	NR	NR	R	NR	3	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16974549	yHMPu5000035275_candida_vanderwaltii_170307	Wickerhamiella_vanderwaltii_CBS5524	R	R	NR	NR	NR	NR	R	R	4	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16974550	yHMPu5000035274_wickerhamomyces_alni_170307	Wickerhamomyces_alni_CBS6986	NR	NR	NR	NR	NR	NR	NR	NR	0	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16974552	yHMPu5000035272_wickerhamomyces_bisporus_170307	Wickerhamomyces_bisporus_CBS1890	NR	NR	NR	NR	NR	NR	NR	NR	0	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16974554	yHMPu5000035270_wickerhamomyces_chambardii_180604.haplomerger2	Wickerhamomyces_chambardii_CBS1900	NR	R	NR	NR	R	NR	R	R	4	Phaffomycetales	NA	Phaffomycetales_R	NA	NA	NA
SRR16974557	yHMPu5000035267_wickerhamomyces_lynferdii_170307	Wickerhamomyces_lynferdii_CBS6695	NR	NR	NR	NR	NR	NR	NR	NR	0	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16974559	yHMPu5000035266_wickerhamomyces_onychis_170307.haplomerger2	Wickerhamomyces_onychis_CBS5587	NR	NR	NR	NR	NR	NR	NR	NR	0	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16974598	yHMPu5000035254_wickerhamomyces_pijperi_160928.haplomerger2	Wickerhamomyces_pijperi_CBS2887	NR	NR	NR	NR	NR	NR	NR	NR	0	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16974596	yHMPu5000035255_wickerhamomyces_rabaulensis_170307.haplomerger2	Wickerhamomyces_rabaulensis_CBS6797	NR	NR	NR	NR	NR	NR	NR	NR	0	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16974522	yHMPu5000026170_wickerhamomyces_silvicola_170307.haplomerger2	Wickerhamomyces_silvicola_CBS1705	NR	NR	NR	NR	NR	NR	NR	NR	0	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16974595	yHMPu5000035257_wickerhamomyces_strasburgensis_170307.haplomerger2	Wickerhamomyces_strasburgensis_CBS2939	NR	NR	NR	NR	NR	NR	NR	NR	0	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16974594	yHMPu5000035258_wickerhamomyces_subpelliculosus_160928.haplomerger2	Wickerhamomyces_subpelliculosus_CBS5767	NR	NR	NR	NR	NR	NR	NR	NR	0	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16974593	yHMPu5000035259_wickerhamomyces_sydowiorum_170307.haplomerger2	Wickerhamomyces_sydowiorum_CBS5995	NR	NR	NR	NR	NR	NR	R	NR	1	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16988653	yHMPu5000038037_yamadazyma_akitaensis_170912	Yamadazyma_akitaensis_CBS6701	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16989136	yHMPu5000038314_yamadazyma_mexicana_170713	Yamadazyma_mexicana_CBS7066	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16988991	yHMPu5000035642_yamadazyma_triangularis_170307	Yamadazyma_triangularis_CBS4094	NR	R	NR	R	NR	R	NR	NR	3	Serinales	NA	NA	NA	NA	Serinales_R
SRR16988989	yHMPu5000035644_yarrowia_deformans_180604	Yarrowia_deformans_CBS2071	R	R	NR	R	R	NR	NR	R	5	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16989102	yHMPu5000035635_candida_galli_170307	Yarrowia_galli_CBS9722	R	R	NR	R	NR	NR	NR	R	4	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16988987	yHMPu5000035647_yarrowia_lipolytica_160519.haplomerger2	Yarrowia_lipolytica_CBS6124	R	R	NR	NR	NR	NR	R	R	4	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16988837	yHMPu5000035630_candida_phangngaensis_170307	Yarrowia_phangngaensis_CBS10407	NR	NR	NR	R	NR	R	NR	R	3	Dipodascales	Dipodascales_NR	NA	NA	NA	NA
SRR16974247	yHMPu5000034578_zygoascus_hellenicus_180604	Zygoascus_hellenicus_CBS5839	NR	R	R	R	R	NR	R	R	6	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16988954	yHMPu5000040906_zygoascus_tannicolus_201018	Zygoascus_tannicola_CBS6065	NR	NR	NR	NR	NR	NR	R	NR	1	Dipodascales	Dipodascales_NR	NA	NA	NA	NA
SRR16974706	yHMPu5000034864_zygosaccharomyces_lentus_170307	Zygosaccharomyces_lentus_CBS8574	NR	NR	NR	NR	NR	NR	NR	NR	0	Saccharomycetales	NA	NA	NA	Saccharomycetales_NR	NA
SRR16974531	yHMPu5000026137_ambrosiozyma_ambrosiae_160519	Ambrosiozyma_ambrosiae_CBS6003	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16974616	yHMPu5000035044_barnettozyma_californica_160519	Barnettozyma_californica_CBS252	NR	R	NR	NR	NR	NR	NR	NR	1	Phaffomycetales	NA	Phaffomycetales_R	NA	NA	NA
SRR16974615	yHMPu5000035045_barnettozyma_hawaiiensis_160613	Barnettozyma_hawaiiensis_CBS8760	NR	R	NR	NR	NR	NR	NR	NR	1	Phaffomycetales	NA	Phaffomycetales_R	NA	NA	NA
SRR16974614	yHMPu5000035046_barnettozyma_populi_160613	Barnettozyma_populi_CBS8094	NR	R	R	R	R	NR	NR	NR	4	Phaffomycetales	NA	Phaffomycetales_R	NA	NA	NA
SRR16974613	yHMPu5000035047_barnettozyma_pratensis_160519	Barnettozyma_pratensis_CBS7079	NR	R	NR	NR	R	NR	R	NR	3	Phaffomycetales	NA	Phaffomycetales_R	NA	NA	NA
SRR16974312	yHMPu5000034675_blastobotrys_mokoenaii_160519	Blastobotrys_mokoenaii_CBS8435	NR	R	NR	R	NR	NR	NR	NR	2	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16974518	yHMPu5000026197_brettanomyces_custersianus_160519	Brettanomyces_custersianus_CBS4805	NR	NR	NR	NR	NR	NR	NR	NR	0	Pichiales	NA	NA	Pichiales_NR	NA	NA
SRR16989032	yHMPu5000041863_candida_gorgasii_160928	Candida_gorgasii_CBS9880	NR	NR	NR	R	NR	NR	R	NR	2	Serinales	NA	NA	NA	NA	Serinales_NR
SRR16974607	yHMPu5000035244_candida_incommunis_160928	Candida_incommunis_CBS5604	NR	R	NR	NR	NR	NR	NR	R	2	Dipodascales	Dipodascales_R	NA	NA	NA	NA
SRR16974651	yHMPu5000035037_candida_montana_160519	Candida_montana_CBS8057	NR	NR	NR	NR	NR	NR	NR	NR	0	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16988926	yHMPu5000035673_candida_orba_160613	Candida_orba_CBS8782	NR	NR	NR	NR	NR	NR	R	NR	1	Phaffomycetales	NA	Phaffomycetales_NR	NA	NA	NA
SRR16974396	yHMPu5000034986_candida_oregonensis_160519	Candida_oregonensis_CBS5036	NR	R	R	NR	NR	NR	NR	NR	2	Serinales	NA	NA	NA	NA	Serinales_R
SRR16988882	yHMPu5000035690_candida_vartiovaarae_160613	Candida_vartiovaarae_CBS4289	NR	R	NR	NR	NR	NR	NR	NR	1	Phaffomycetales	NA	Phaffomycetales_R	NA	NA	NA
SRR16974341	yHMPu5000034988_candida_fructus_160519	Clavispora_fructus_CBS6380	NR	NR	NR	NR	NR	NR	NR	NR	0	Serinales	NA	NA	NA	NA	Serinales_NR
