sample_name	ampicillin_RIS	ciprofloxacin_RIS	clindamycin_RIS	daptomycin_RIS	doxycycline_RIS	erythromycin_RIS	gentamicin_RIS	kanamycin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tetracycline_RIS	tigecycline_RIS	vancomycin_RIS
ERR1542002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542003	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542004	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542005	I/R	NA	S	NA	NA	I/R	S	S	S	S	S	I/R	S	S	I/R
ERR1542006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542008	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542011	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	S	I/R	S	S
ERR1542012	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542013	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542014	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542015	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542016	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542017	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542018	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542019	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542022	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	I/R	I/R	S	I/R
ERR1542023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542024	I/R	NA	I/R	NA	NA	I/R	S	S	S	S	S	I/R	I/R	S	I/R
ERR1542025	I/R	NA	I/R	NA	NA	I/R	S	S	S	S	S	I/R	I/R	S	I/R
ERR1542026	I/R	NA	I/R	NA	NA	I/R	S	S	S	S	S	I/R	I/R	S	I/R
ERR1542027	I/R	NA	I/R	NA	NA	I/R	S	S	S	S	S	I/R	I/R	S	I/R
ERR1542028	I/R	NA	I/R	NA	NA	I/R	S	S	S	S	S	I/R	I/R	S	I/R
ERR1542029	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	S	S	I/R
ERR1542030	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	S	S	I/R
ERR1542031	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	S	S	I/R
ERR1542032	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	S	S	I/R
ERR1542033	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	S	S	I/R
ERR1542034	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542035	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542036	I/R	NA	S	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542037	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	I/R	I/R	I/R	S	I/R
ERR1542038	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERR1542041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
