sample_name	ampicillin_RIS	ciprofloxacin_RIS	clindamycin_RIS	daptomycin_RIS	doxycycline_RIS	erythromycin_RIS	gentamicin_RIS	kanamycin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tetracycline_RIS	tigecycline_RIS	vancomycin_RIS
ERR1542189	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	S	S	I/R	I/R	S	I/R
ERR1542190	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	I/R	I/R	S	S	I/R
ERR1542191	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542192	I/R	NA	S	NA	NA	I/R	I/R	S	S	S	S	S	I/R	S	S
ERR1542193	I/R	NA	S	NA	NA	I/R	I/R	S	S	S	S	S	I/R	S	S
ERR1542194	I/R	NA	S	NA	NA	I/R	I/R	S	S	S	S	S	I/R	S	S
ERR1542195	I/R	NA	S	NA	NA	I/R	I/R	S	S	S	S	S	I/R	S	S
ERR1542196	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	I/R	I/R	S	I/R	I/R	S	I/R
ERR1542197	I/R	NA	S	NA	NA	I/R	I/R	S	S	S	S	I/R	I/R	S	I/R
ERR1542198	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542199	I/R	NA	I/R	NA	NA	I/R	I/R	I/R	S	I/R	S	I/R	I/R	S	I/R
ERR1542202	I/R	NA	I/R	NA	NA	I/R	S	I/R	S	S	S	I/R	I/R	S	I/R
